id,utterance,topics,primary_topic,confidence,source,annotator_id,created_at
topic_000023,My professors don't support me and I feel completely on my own.,"[""academic_stress""]",academic_stress,0.93,synthetic,ann_004,2024-08-09T21:32:51Z
topic_000024,The office politics are exhausting and I'm thinking of quitting.,"[""workplace_stress""]",workplace_stress,0.88,synthetic,ann_002,2024-11-11T04:01:17Z
topic_000025,My toxic work environment is making me take out my frustration on my family.,"[""workplace_stress"", ""relationship_issues""]",workplace_stress,0.87,synthetic,ann_004,2025-03-25T10:19:20Z
topic_000026,I'm afraid to open my bank statements.,"[""financial_stress""]",financial_stress,0.92,synthetic,ann_005,2024-06-21T21:28:22Z
topic_000027,I have test anxiety that makes me forget everything I've studied.,"[""academic_stress""]",academic_stress,0.93,synthetic,ann_004,2025-03-21T10:47:19Z
topic_000028,I'm burned out and distant from my family because of constant work stress.,"[""workplace_stress"", ""relationship_issues""]",workplace_stress,0.85,synthetic,ann_005,2025-03-12T18:10:09Z
topic_000029,We can't afford to have the life we want and it's creating resentment.,"[""relationship_issues"", ""financial_stress""]",relationship_issues,0.82,synthetic,ann_005,2025-01-21T07:01:41Z
topic_000030,Job ja sakti hai aur paise ki bhi bahut tension hai.,"[""workplace_stress"", ""financial_stress""]",workplace_stress,0.87,synthetic,ann_003,2024-11-08T02:01:04Z
topic_000031,I have somatic symptoms — physical pain with no clear medical cause.,"[""health_concerns""]",health_concerns,0.92,synthetic,ann_002,2024-10-23T10:04:27Z
topic_000032,I feel like a cog in a machine at my job — completely replaceable.,"[""workplace_stress""]",workplace_stress,0.92,synthetic,ann_004,2025-03-01T21:12:00Z
topic_000033,Pyar mein dhoka mila aur ab trust nahi kar sakta.,"[""relationship_issues""]",relationship_issues,0.92,synthetic,ann_002,2024-06-18T00:18:14Z
topic_000034,I feel disconnected from my partner and I don't know how to reconnect.,"[""relationship_issues""]",relationship_issues,0.95,synthetic,ann_005,2025-03-06T17:06:11Z
topic_000035,Koi bimari hai jo theek hi nahi ho rahi.,"[""health_concerns""]",health_concerns,0.9,synthetic,ann_001,2024-08-03T15:01:50Z
topic_000036,I was recently diagnosed with a serious illness and I'm terrified.,"[""health_concerns""]",health_concerns,0.87,synthetic,ann_003,2025-02-27T08:07:52Z
topic_000037,I live in constant fear of having another panic attack.,"[""health_concerns""]",health_concerns,0.87,synthetic,ann_002,2024-10-17T03:45:46Z
topic_000038,I dropped out of college and I feel ashamed and lost.,"[""academic_stress""]",academic_stress,0.93,synthetic,ann_002,2024-06-25T03:02:26Z
topic_000039,I'm struggling to study because my family is going through a crisis.,"[""academic_stress"", ""relationship_issues""]",academic_stress,0.87,synthetic,ann_005,2024-10-21T13:44:18Z
topic_000040,I feel like my body is betraying me and I don't know how to cope.,"[""health_concerns""]",health_concerns,0.9,synthetic,ann_002,2024-11-23T06:18:13Z
topic_000041,I was recently fired and I feel ashamed and worthless.,"[""workplace_stress""]",workplace_stress,0.88,synthetic,ann_002,2024-07-17T00:02:54Z
topic_000042,I feel deeply misunderstood by everyone around me.,"[""relationship_issues""]",relationship_issues,0.92,synthetic,ann_005,2025-01-18T13:12:30Z
topic_000043,College mein struggle ho raha hai bahut.,"[""academic_stress""]",academic_stress,0.93,synthetic,ann_003,2024-06-06T22:55:13Z
topic_000044,I was recently fired and I feel ashamed and worthless.,"[""workplace_stress""]",workplace_stress,0.88,synthetic,ann_001,2025-02-24T08:46:10Z
topic_000045,I'm dealing with a controlling partner and it's affecting my wellbeing.,"[""relationship_issues""]",relationship_issues,0.9,synthetic,ann_003,2025-02-05T11:01:46Z
topic_000046,I'm in a high-pressure sales job and the targets are impossible.,"[""workplace_stress""]",workplace_stress,0.92,synthetic,ann_004,2024-10-08T10:39:33Z
topic_000047,I have somatic symptoms — physical pain with no clear medical cause.,"[""health_concerns""]",health_concerns,0.9,synthetic,ann_001,2024-06-24T11:36:38Z
topic_000048,I have chronic fatigue syndrome and I've lost my former life.,"[""health_concerns""]",health_concerns,0.87,synthetic,ann_002,2025-02-06T21:02:03Z
topic_000049,My mental health crisis is affecting my ability to study.,"[""academic_stress"", ""health_concerns""]",academic_stress,0.87,synthetic,ann_001,2024-11-02T18:32:28Z
topic_000050,My in-laws create so much stress in my marriage.,"[""relationship_issues""]",relationship_issues,0.9,synthetic,ann_001,2024-07-26T10:48:03Z
topic_000051,My manager keeps criticising everything I do and I can't take it anymore.,"[""workplace_stress""]",workplace_stress,0.97,synthetic,ann_002,2024-09-20T20:37:34Z
topic_000052,Financial stress is affecting my health and my relationships.,"[""financial_stress""]",financial_stress,0.9,synthetic,ann_002,2024-08-22T00:26:08Z
topic_000053,My academic career feels like a disaster and I don't know what to do.,"[""academic_stress""]",academic_stress,0.95,synthetic,ann_004,2024-12-18T02:45:49Z
topic_000054,Work-life balance has collapsed and both my career and my relationship are suffering.,"[""workplace_stress"", ""relationship_issues""]",workplace_stress,0.85,synthetic,ann_004,2024-06-09T17:12:44Z
topic_000055,Marks ache nahi aaye aur sab naraaz hain mujhse.,"[""academic_stress""]",academic_stress,0.88,synthetic,ann_003,2024-11-20T17:14:19Z
topic_000056,Work-life balance has collapsed and both my career and my relationship are suffering.,"[""workplace_stress"", ""relationship_issues""]",workplace_stress,0.9,synthetic,ann_003,2024-09-28T02:12:50Z
topic_000057,Workplace pe mera confidence bahut kam ho gaya hai.,"[""workplace_stress""]",workplace_stress,0.97,synthetic,ann_001,2024-10-14T21:52:00Z
topic_000058,I work in a toxic environment but I can't quit because I need the money.,"[""workplace_stress"", ""financial_stress""]",workplace_stress,0.9,synthetic,ann_001,2024-07-08T02:37:30Z
topic_000059,My relationships always fall apart and I don't understand why.,"[""relationship_issues""]",relationship_issues,0.87,synthetic,ann_004,2024-06-21T16:23:24Z
topic_000060,My colleagues bully me and HR isn't doing anything about it.,"[""workplace_stress""]",workplace_stress,0.95,synthetic,ann_003,2024-08-22T04:49:00Z
topic_000061,I'm underpaid and overworked and the financial pressure is making me anxious.,"[""workplace_stress"", ""financial_stress""]",workplace_stress,0.85,synthetic,ann_003,2025-03-16T21:25:14Z
topic_000062,Financial difficulties after having a baby are straining my relationship.,"[""relationship_issues"", ""financial_stress""]",relationship_issues,0.9,synthetic,ann_001,2025-01-03T14:08:58Z
topic_000063,I feel like my body is betraying me and I don't know how to cope.,"[""health_concerns""]",health_concerns,0.95,synthetic,ann_004,2025-02-28T13:20:57Z
topic_000064,I was in an abusive relationship and I'm still recovering from it.,"[""relationship_issues""]",relationship_issues,0.95,synthetic,ann_001,2024-11-15T05:32:58Z
topic_000065,I'm terrified of bankruptcy and what it means for my future.,"[""financial_stress""]",financial_stress,0.92,synthetic,ann_001,2024-10-07T09:04:06Z
topic_000066,Financially bahut stress mein hun aur neend nahi aa rahi.,"[""financial_stress""]",financial_stress,0.9,synthetic,ann_004,2024-09-23T23:07:36Z
topic_000067,I have multiple assignments due this week and I'm completely overwhelmed.,"[""academic_stress""]",academic_stress,0.9,synthetic,ann_004,2024-09-03T07:36:19Z
topic_000068,My workload is unmanageable and nobody seems to care.,"[""workplace_stress""]",workplace_stress,0.97,synthetic,ann_004,2024-11-09T11:17:48Z
topic_000069,I was told I might need surgery and I'm absolutely terrified.,"[""health_concerns""]",health_concerns,0.92,synthetic,ann_004,2024-07-29T06:53:25Z
topic_000070,I have an autoimmune disease that is unpredictable and frightening.,"[""health_concerns""]",health_concerns,0.92,synthetic,ann_004,2024-09-11T22:03:10Z
topic_000071,I'm on the verge of eviction and I'm completely panicking.,"[""financial_stress""]",financial_stress,0.92,synthetic,ann_002,2024-08-04T00:49:32Z
topic_000072,I have multiple assignments due this week and I'm completely overwhelmed.,"[""academic_stress""]",academic_stress,0.95,synthetic,ann_002,2024-11-18T06:41:46Z
topic_000073,I feel like my body is betraying me and I don't know how to cope.,"[""health_concerns""]",health_concerns,0.92,synthetic,ann_005,2024-08-30T09:30:00Z
topic_000074,Ghar mein koi mujhe samajhta hi nahi.,"[""relationship_issues""]",relationship_issues,0.95,synthetic,ann_004,2024-09-15T02:05:58Z
topic_000075,I can't sleep because of exam stress and my health is deteriorating.,"[""academic_stress"", ""health_concerns""]",academic_stress,0.87,synthetic,ann_002,2024-10-03T13:29:53Z
topic_000076,I'm struggling with procrastination and my grades are suffering.,"[""academic_stress""]",academic_stress,0.88,synthetic,ann_005,2025-01-19T06:10:19Z
topic_000077,I'm supporting my partner financially and I'm beginning to resent it.,"[""relationship_issues"", ""financial_stress""]",relationship_issues,0.87,synthetic,ann_003,2025-03-11T13:36:02Z
topic_000078,I'm constantly comparing myself to other students and feeling inferior.,"[""academic_stress""]",academic_stress,0.88,synthetic,ann_003,2025-02-09T20:46:14Z
topic_000079,I'm working two jobs to make ends meet and I'm completely exhausted.,"[""workplace_stress"", ""financial_stress""]",workplace_stress,0.85,synthetic,ann_001,2024-08-23T16:18:03Z
topic_000080,Office mein sab kuch bahut stressful ho gaya hai.,"[""workplace_stress""]",workplace_stress,0.9,synthetic,ann_004,2024-06-10T15:01:32Z
topic_000081,Work stress is making me irritable and hurting my closest relationships.,"[""workplace_stress"", ""relationship_issues""]",workplace_stress,0.82,synthetic,ann_002,2025-03-23T17:26:13Z
topic_000082,I feel like my body is betraying me and I don't know how to cope.,"[""health_concerns""]",health_concerns,0.9,synthetic,ann_005,2024-09-05T18:13:31Z
topic_000083,My partner doesn't seem to care about my emotional needs.,"[""relationship_issues""]",relationship_issues,0.95,synthetic,ann_003,2024-10-23T11:24:57Z
topic_000084,My marriage is falling apart and I don't know how to save it.,"[""relationship_issues""]",relationship_issues,0.87,synthetic,ann_002,2025-02-06T13:21:13Z
topic_000085,Breakup ke baad sambhalna mushkil ho raha hai.,"[""relationship_issues""]",relationship_issues,0.9,synthetic,ann_001,2024-10-01T13:33:58Z
topic_000086,I spent years building my business and it collapsed — I've lost everything.,"[""financial_stress""]",financial_stress,0.87,synthetic,ann_005,2024-12-10T18:21:40Z
topic_000087,I feel intense pressure to be the best in my class.,"[""academic_stress""]",academic_stress,0.9,synthetic,ann_005,2024-12-26T10:02:06Z
topic_000088,My parents are getting divorced and it's tearing our family apart.,"[""relationship_issues""]",relationship_issues,0.95,synthetic,ann_004,2024-12-21T12:40:22Z
topic_000089,My parents are getting divorced and it's tearing our family apart.,"[""relationship_issues""]",relationship_issues,0.87,synthetic,ann_003,2025-01-20T04:13:39Z
topic_000090,I chose the wrong field and now I'm stuck and don't know what to do.,"[""academic_stress""]",academic_stress,0.93,synthetic,ann_005,2024-12-11T02:57:37Z
topic_000091,My partner and I have completely different values and it's causing conflict.,"[""relationship_issues""]",relationship_issues,0.9,synthetic,ann_004,2024-11-11T01:07:20Z
topic_000092,The stress of financial instability is making it hard to perform at work.,"[""workplace_stress"", ""financial_stress""]",workplace_stress,0.87,synthetic,ann_003,2025-02-09T14:31:23Z
topic_000093,I'm exhausted and I feel like I can never do enough at work.,"[""workplace_stress""]",workplace_stress,0.9,synthetic,ann_002,2025-02-10T18:54:13Z
topic_000094,I keep having panic attacks before important meetings.,"[""workplace_stress""]",workplace_stress,0.92,synthetic,ann_005,2025-03-18T20:47:30Z
topic_000095,My medical bills are overwhelming and I don't know how to cope.,"[""health_concerns"", ""financial_stress""]",health_concerns,0.9,synthetic,ann_004,2024-06-12T18:04:55Z
topic_000096,My chronic condition has isolated me from friends and family.,"[""health_concerns""]",health_concerns,0.95,synthetic,ann_003,2024-09-29T15:54:47Z
topic_000097,We can't afford to buy a house and it's causing constant tension.,"[""relationship_issues"", ""financial_stress""]",relationship_issues,0.85,synthetic,ann_005,2024-12-26T21:18:13Z
topic_000098,I'm struggling with procrastination and my grades are suffering.,"[""academic_stress""]",academic_stress,0.9,synthetic,ann_004,2025-03-20T17:31:16Z
topic_000099,I feel trapped in a bad job because of my financial obligations.,"[""workplace_stress"", ""financial_stress""]",workplace_stress,0.85,synthetic,ann_005,2025-02-22T10:05:40Z
topic_000100,My job stress is bleeding into my marriage and we fight constantly about it.,"[""workplace_stress"", ""relationship_issues""]",workplace_stress,0.82,synthetic,ann_001,2025-01-11T11:13:50Z
topic_000101,I've been working from home and my partner and I are constantly in conflict.,"[""workplace_stress"", ""relationship_issues""]",workplace_stress,0.9,synthetic,ann_002,2024-07-13T03:56:48Z
topic_000102,I can't stop googling my symptoms and it's making my anxiety worse.,"[""health_concerns""]",health_concerns,0.92,synthetic,ann_001,2024-12-01T21:59:54Z
topic_000103,I was hospitalised during my exams and now I'm way behind.,"[""academic_stress"", ""health_concerns""]",academic_stress,0.87,synthetic,ann_002,2025-03-15T09:25:15Z
topic_000104,I have a phobia of hospitals and medical procedures.,"[""health_concerns""]",health_concerns,0.95,synthetic,ann_005,2025-03-08T09:52:58Z
topic_000105,I can't sleep because I keep worrying about work problems.,"[""workplace_stress""]",workplace_stress,0.97,synthetic,ann_001,2024-07-24T17:44:23Z
topic_000106,My company is going under and I'm terrified about my financial future.,"[""workplace_stress"", ""financial_stress""]",workplace_stress,0.85,synthetic,ann_001,2024-12-22T04:12:34Z
topic_000107,I was diagnosed with a neurological condition and I'm in shock.,"[""health_concerns""]",health_concerns,0.92,synthetic,ann_001,2024-10-24T02:07:06Z
topic_000108,I'm dealing with a controlling partner and it's affecting my wellbeing.,"[""relationship_issues""]",relationship_issues,0.92,synthetic,ann_004,2024-11-06T18:00:24Z
topic_000109,I feel deeply lonely and isolated and it's affecting my mental health.,"[""relationship_issues""]",relationship_issues,0.87,synthetic,ann_003,2024-09-02T15:27:23Z
topic_000110,I'm suffering from severe burnout and I don't know how to recover.,"[""workplace_stress""]",workplace_stress,0.92,synthetic,ann_001,2024-12-14T11:53:46Z
topic_000111,Bimari ki wajah se job bhi gayi aur paise bhi nahi hain.,"[""health_concerns"", ""financial_stress""]",health_concerns,0.82,synthetic,ann_005,2025-02-18T19:27:44Z
topic_000112,I'm struggling with a difficult divorce and custody battle.,"[""relationship_issues""]",relationship_issues,0.87,synthetic,ann_005,2025-01-05T02:21:53Z
topic_000113,I was told I might need surgery and I'm absolutely terrified.,"[""health_concerns""]",health_concerns,0.87,synthetic,ann_003,2024-10-01T21:44:20Z
topic_000114,My boss's criticism is making me depressed and my partner doesn't know how to help.,"[""workplace_stress"", ""relationship_issues""]",workplace_stress,0.87,synthetic,ann_001,2025-03-01T07:17:50Z
topic_000115,Kaam ki wajah se ghar mein bhi tension rehti hai.,"[""workplace_stress"", ""relationship_issues""]",workplace_stress,0.85,synthetic,ann_001,2025-03-18T10:08:00Z
topic_000116,Kaam ki wajah se zindagi kharab ho rahi hai.,"[""workplace_stress""]",workplace_stress,0.95,synthetic,ann_005,2024-06-15T06:02:31Z
topic_000117,I lost my job because of illness and now I'm struggling financially.,"[""health_concerns"", ""financial_stress""]",health_concerns,0.87,synthetic,ann_004,2024-11-30T17:48:19Z
topic_000118,I feel smothered in my relationship and I don't know what to do.,"[""relationship_issues""]",relationship_issues,0.95,synthetic,ann_005,2024-11-07T12:53:16Z
topic_000119,I've been passed over again and I feel invisible at work.,"[""workplace_stress""]",workplace_stress,0.95,synthetic,ann_005,2024-09-13T05:37:39Z
topic_000120,My children are struggling and I feel like a failure as a parent.,"[""relationship_issues""]",relationship_issues,0.92,synthetic,ann_005,2024-06-21T08:04:55Z
topic_000121,I've been battling cancer and the emotional toll is enormous.,"[""health_concerns""]",health_concerns,0.87,synthetic,ann_002,2024-07-12T00:48:05Z
topic_000122,I have been micromanaged to the point where I can't do anything right.,"[""workplace_stress""]",workplace_stress,0.97,synthetic,ann_005,2025-01-18T06:01:04Z
topic_000123,My mother is very critical and it has impacted my self-esteem my whole life.,"[""relationship_issues""]",relationship_issues,0.87,synthetic,ann_004,2024-07-11T04:42:26Z
topic_000124,Work stress is making me irritable and hurting my closest relationships.,"[""workplace_stress"", ""relationship_issues""]",workplace_stress,0.85,synthetic,ann_005,2024-07-25T12:20:58Z
topic_000125,I have test anxiety that makes me forget everything I've studied.,"[""academic_stress""]",academic_stress,0.93,synthetic,ann_005,2024-09-20T08:07:51Z
topic_000126,Paise ki bahut taqleef hai aur samajh nahi aa raha kya karoon.,"[""financial_stress""]",financial_stress,0.9,synthetic,ann_004,2024-12-28T21:52:26Z
topic_000127,I've been divorced for two years and still feel like a failure.,"[""relationship_issues""]",relationship_issues,0.9,synthetic,ann_003,2024-07-18T07:42:32Z
topic_000128,I owe money to people I love and I feel terrible about it.,"[""financial_stress""]",financial_stress,0.87,synthetic,ann_002,2025-01-25T15:21:58Z
topic_000129,I have been micromanaged to the point where I can't do anything right.,"[""workplace_stress""]",workplace_stress,0.9,synthetic,ann_001,2025-01-28T07:16:05Z
topic_000130,Health ki wajah se sab kuch rok diya hai mujhne.,"[""health_concerns""]",health_concerns,0.9,synthetic,ann_002,2025-03-27T02:17:12Z
topic_000131,I struggle to form close friendships and I often feel alone.,"[""relationship_issues""]",relationship_issues,0.87,synthetic,ann_005,2025-02-19T10:57:13Z
topic_000132,I feel deep shame about my financial situation.,"[""financial_stress""]",financial_stress,0.9,synthetic,ann_003,2024-12-08T08:47:47Z
topic_000133,I live in constant fear of having another panic attack.,"[""health_concerns""]",health_concerns,0.9,synthetic,ann_002,2025-03-12T10:00:56Z
topic_000134,I've been diagnosed with diabetes and I'm struggling to adjust.,"[""health_concerns""]",health_concerns,0.87,synthetic,ann_004,2024-11-24T18:45:02Z
topic_000135,I'm struggling academically because my physical health has collapsed.,"[""academic_stress"", ""health_concerns""]",academic_stress,0.85,synthetic,ann_004,2024-06-18T10:17:20Z
topic_000136,The pressure at work is making me emotionally unavailable to my partner.,"[""workplace_stress"", ""relationship_issues""]",workplace_stress,0.85,synthetic,ann_004,2024-11-18T11:30:57Z
topic_000137,Padhai mein focus nahi ho raha kuch bhi.,"[""academic_stress""]",academic_stress,0.9,synthetic,ann_005,2024-08-24T09:05:44Z
topic_000138,I feel undervalued and disrespected at work every single day.,"[""workplace_stress""]",workplace_stress,0.88,synthetic,ann_001,2024-08-04T10:30:44Z
topic_000139,I'm struggling academically because my physical health has collapsed.,"[""academic_stress"", ""health_concerns""]",academic_stress,0.87,synthetic,ann_005,2024-12-05T14:07:54Z
topic_000140,I can't stop googling my symptoms and it's making my anxiety worse.,"[""health_concerns""]",health_concerns,0.9,synthetic,ann_004,2024-06-30T01:28:14Z
topic_000141,My parents are getting divorced and it's tearing our family apart.,"[""relationship_issues""]",relationship_issues,0.9,synthetic,ann_002,2024-07-31T04:11:37Z
topic_000142,Paise ki wajah se partner ke saath bahut jhagde ho rahe hain.,"[""relationship_issues"", ""financial_stress""]",relationship_issues,0.9,synthetic,ann_002,2024-11-14T01:06:28Z
topic_000143,My colleagues bully me and HR isn't doing anything about it.,"[""workplace_stress""]",workplace_stress,0.88,synthetic,ann_002,2024-07-15T01:32:03Z
topic_000144,I have no idea what career path to choose and it's terrifying.,"[""academic_stress""]",academic_stress,0.93,synthetic,ann_003,2024-09-26T06:20:21Z
topic_000145,I have too many deadlines and I'm drowning in work.,"[""workplace_stress""]",workplace_stress,0.95,synthetic,ann_004,2025-01-02T14:37:02Z
topic_000146,I have borrowed money from family and I'm too embarrassed to face them.,"[""financial_stress""]",financial_stress,0.9,synthetic,ann_002,2024-07-11T05:11:34Z
topic_000147,I've been battling cancer and the emotional toll is enormous.,"[""health_concerns""]",health_concerns,0.87,synthetic,ann_002,2025-03-04T09:04:54Z
topic_000148,I feel disconnected from my partner and I don't know how to reconnect.,"[""relationship_issues""]",relationship_issues,0.87,synthetic,ann_003,2024-11-20T02:06:44Z
topic_000149,Perfectionist hun aur khud pe bahut pressure deta hun.,"[""academic_stress""]",academic_stress,0.93,synthetic,ann_002,2025-01-06T00:28:17Z
topic_000150,I feel ashamed about my grades and hide them from my family.,"[""academic_stress""]",academic_stress,0.9,synthetic,ann_001,2024-09-13T06:14:36Z
topic_000151,I was told I might need surgery and I'm absolutely terrified.,"[""health_concerns""]",health_concerns,0.92,synthetic,ann_001,2024-09-01T10:16:58Z
topic_000152,I feel so lonely even though I'm in a relationship.,"[""relationship_issues""]",relationship_issues,0.9,synthetic,ann_005,2024-09-23T02:06:05Z
topic_000153,Paise ki kami ki wajah se sab se sharmaata hun.,"[""financial_stress""]",financial_stress,0.9,synthetic,ann_005,2024-10-30T00:41:11Z
topic_000154,I was passed over for a raise and now I can barely afford my bills.,"[""workplace_stress"", ""financial_stress""]",workplace_stress,0.87,synthetic,ann_002,2024-09-26T21:30:16Z
topic_000155,I'm going through grief after losing my best friend.,"[""relationship_issues""]",relationship_issues,0.9,synthetic,ann_004,2025-02-26T01:29:51Z
topic_000156,I'm terrified of bankruptcy and what it means for my future.,"[""financial_stress""]",financial_stress,0.92,synthetic,ann_003,2025-02-18T19:55:16Z
topic_000157,My partner and I have completely different relationships with money.,"[""relationship_issues"", ""financial_stress""]",relationship_issues,0.85,synthetic,ann_001,2025-02-09T16:58:54Z
topic_000158,I'm suffering from severe burnout and I don't know how to recover.,"[""workplace_stress""]",workplace_stress,0.88,synthetic,ann_001,2025-01-01T21:40:45Z
topic_000159,I'm in a high-pressure sales job and the targets are impossible.,"[""workplace_stress""]",workplace_stress,0.92,synthetic,ann_004,2024-09-03T16:58:19Z
topic_000160,I'm underpaid and overworked and the financial pressure is making me anxious.,"[""workplace_stress"", ""financial_stress""]",workplace_stress,0.87,synthetic,ann_003,2024-12-05T01:19:08Z
topic_000161,Koi bimari hai jo theek hi nahi ho rahi.,"[""health_concerns""]",health_concerns,0.87,synthetic,ann_003,2024-11-21T10:53:33Z
topic_000162,My partner and I fight constantly about money.,"[""financial_stress""]",financial_stress,0.95,synthetic,ann_001,2024-08-28T17:00:45Z
topic_000163,Rishton mein bahut takleef ho rahi hai.,"[""relationship_issues""]",relationship_issues,0.95,synthetic,ann_002,2024-08-17T13:19:03Z
topic_000164,Tabiyat theek nahi rehti aur main darr gaya hun.,"[""health_concerns""]",health_concerns,0.95,synthetic,ann_005,2024-12-31T11:13:37Z
topic_000165,Financially bahut stress mein hun aur neend nahi aa rahi.,"[""financial_stress""]",financial_stress,0.9,synthetic,ann_004,2024-10-11T08:59:29Z
topic_000166,I feel trapped in a bad job because of my financial obligations.,"[""workplace_stress"", ""financial_stress""]",workplace_stress,0.85,synthetic,ann_001,2024-06-14T15:40:05Z
topic_000167,I struggle to form close friendships and I often feel alone.,"[""relationship_issues""]",relationship_issues,0.9,synthetic,ann_003,2024-10-23T19:13:56Z
topic_000168,Health anxiety is stopping me from living normally.,"[""health_concerns""]",health_concerns,0.87,synthetic,ann_001,2024-10-11T17:53:00Z
topic_000169,I'm afraid to open my bank statements.,"[""financial_stress""]",financial_stress,0.92,synthetic,ann_001,2025-03-23T10:56:13Z
topic_000170,I have no savings and an unexpected expense has wiped me out.,"[""financial_stress""]",financial_stress,0.9,synthetic,ann_004,2024-10-13T06:37:07Z
topic_000171,I keep having panic attacks before important meetings.,"[""workplace_stress""]",workplace_stress,0.95,synthetic,ann_003,2025-03-09T09:37:18Z
topic_000172,I feel deeply lonely and isolated and it's affecting my mental health.,"[""relationship_issues""]",relationship_issues,0.92,synthetic,ann_001,2024-08-10T01:35:58Z
topic_000173,I have chronic fatigue syndrome and I've lost my former life.,"[""health_concerns""]",health_concerns,0.87,synthetic,ann_001,2024-09-17T15:42:04Z
topic_000174,I feel like a cog in a machine at my job — completely replaceable.,"[""workplace_stress""]",workplace_stress,0.88,synthetic,ann_005,2024-11-16T18:25:40Z
topic_000175,I've been suffering from severe migraines for months.,"[""health_concerns""]",health_concerns,0.9,synthetic,ann_002,2024-12-26T07:31:07Z
topic_000176,I feel like I'm always just barely surviving academically.,"[""academic_stress""]",academic_stress,0.9,synthetic,ann_002,2024-09-25T11:57:58Z
topic_000177,I'm so stressed about my upcoming exams that I can't sleep.,"[""academic_stress""]",academic_stress,0.9,synthetic,ann_004,2025-01-02T20:54:13Z
topic_000178,I have chronic fatigue syndrome and I've lost my former life.,"[""health_concerns""]",health_concerns,0.92,synthetic,ann_001,2024-10-09T02:35:17Z
topic_000179,I chose the wrong field and now I'm stuck and don't know what to do.,"[""academic_stress""]",academic_stress,0.88,synthetic,ann_005,2025-02-06T12:07:35Z
topic_000180,My relationships always fall apart and I don't understand why.,"[""relationship_issues""]",relationship_issues,0.95,synthetic,ann_001,2024-07-20T00:32:56Z
