id,utterance,primary_intent,secondary_intent,confidence,source,annotator_id,created_at
intent_000042,I'd like to check my anxiety levels.,assessment_request,,0.95,synthetic,ann_002,2024-12-17T17:10:00Z
intent_000043,The video call quality was terrible.,feedback_complaint,,0.93,synthetic,ann_004,2025-03-20T08:58:45Z
intent_000044,I want a refund for my last session.,feedback_complaint,,0.93,synthetic,ann_002,2024-06-09T07:01:22Z
intent_000045,I need help coping with a difficult life event.,seek_support,,0.9,synthetic,ann_004,2024-11-10T17:33:41Z
intent_000046,I feel like I'm at my breaking point.,seek_support,,0.9,synthetic,ann_002,2025-02-22T17:38:09Z
intent_000047,I've been having trouble getting out of bed in the mornings.,seek_support,book_appointment,0.92,synthetic,ann_004,2024-06-29T18:29:45Z
intent_000048,I want to give feedback about my recent session.,feedback_complaint,,0.93,synthetic,ann_001,2025-01-23T02:19:04Z
intent_000049,Can I do the stress test?,assessment_request,,0.97,synthetic,ann_005,2025-03-24T13:10:13Z
intent_000050,The app doesn't work on my phone.,feedback_complaint,,0.9,synthetic,ann_001,2025-01-08T13:19:32Z
intent_000051,I think the AI responses need a lot of improvement.,feedback_complaint,,0.93,synthetic,ann_003,2024-11-01T01:45:03Z
intent_000052,I'm just getting started.,general_chat,,0.92,synthetic,ann_003,2024-09-23T10:02:17Z
intent_000053,Kya main yahan koi assessment le sakta hun?,assessment_request,,0.95,synthetic,ann_005,2024-11-17T09:03:12Z
intent_000054,Can I complete the intake assessment?,assessment_request,information_request,0.97,synthetic,ann_005,2024-08-26T06:31:50Z
intent_000055,I want to start therapy and need to book my first session.,book_appointment,seek_support,0.9,synthetic,ann_002,2025-02-11T09:17:29Z
intent_000056,I feel like I'm falling apart.,seek_support,,0.92,synthetic,ann_003,2024-08-11T14:23:38Z
intent_000057,I want to book a session and need to know the available times.,book_appointment,,0.9,synthetic,ann_002,2024-12-26T15:36:43Z
intent_000058,I've been feeling really fragile emotionally.,seek_support,,0.88,synthetic,ann_004,2024-12-05T15:49:32Z
intent_000059,I need help working through some really painful feelings.,seek_support,,0.95,synthetic,ann_005,2024-09-21T02:02:44Z
intent_000060,Can we just chat for a bit?,general_chat,,0.95,synthetic,ann_002,2024-07-07T02:02:29Z
intent_000061,I can't seem to get out of this dark place.,seek_support,book_appointment,0.9,synthetic,ann_004,2024-09-30T08:55:50Z
intent_000062,I feel completely trapped and want to die.,crisis_emergency,,0.9,synthetic,ann_001,2024-06-26T00:55:22Z
intent_000063,What would you recommend I try first?,general_chat,,0.85,synthetic,ann_005,2025-03-27T13:26:28Z
intent_000064,I'd like to track my mental health with assessments.,assessment_request,seek_support,0.93,synthetic,ann_005,2024-07-20T02:49:06Z
intent_000065,Ye app sahi se kaam nahi kar raha.,feedback_complaint,,0.95,synthetic,ann_004,2025-01-29T00:28:43Z
intent_000066,Is it possible to book a session today?,book_appointment,,0.94,synthetic,ann_001,2025-01-09T17:11:28Z
intent_000067,I've been having thoughts of suicide.,crisis_emergency,,0.93,synthetic,ann_003,2024-08-01T02:14:07Z
intent_000068,I want to disappear from this world.,crisis_emergency,seek_support,0.97,synthetic,ann_001,2024-09-23T09:23:59Z
intent_000069,I've tried contacting support but got no reply.,feedback_complaint,,0.88,synthetic,ann_001,2024-12-24T06:33:34Z
intent_000070,Can I start the mental health evaluation?,assessment_request,,0.97,synthetic,ann_001,2024-07-17T07:11:27Z
intent_000071,I'm thinking about jumping off a bridge.,crisis_emergency,seek_support,0.9,synthetic,ann_002,2024-07-21T18:21:15Z
intent_000072,"I need to see a therapist urgently, how do I book?",book_appointment,,0.98,synthetic,ann_001,2024-06-18T14:15:28Z
intent_000073,Can I take a formal mental health assessment?,assessment_request,,0.88,synthetic,ann_005,2024-11-01T04:17:40Z
intent_000074,I'd like to take the PTSD screening.,assessment_request,,0.88,synthetic,ann_004,2024-07-13T20:13:16Z
intent_000075,I need to schedule therapy as soon as possible.,book_appointment,,0.92,synthetic,ann_004,2025-01-08T06:49:23Z
intent_000076,I've been really reactive lately and it's affecting my relationships.,seek_support,,0.95,synthetic,ann_005,2024-06-24T09:23:13Z
intent_000077,I'd like to arrange regular therapy appointments.,book_appointment,seek_support,0.92,synthetic,ann_004,2024-08-08T06:28:10Z
intent_000078,I feel like the pain will only stop if I'm dead.,crisis_emergency,,0.9,synthetic,ann_001,2024-06-05T18:31:59Z
intent_000079,Is this thing working?,general_chat,,0.88,synthetic,ann_002,2025-02-13T07:59:37Z
intent_000080,I need immediate help -- I'm not safe.,crisis_emergency,,0.9,synthetic,ann_002,2025-01-20T22:40:09Z
intent_000081,I have a plan to kill myself.,crisis_emergency,,0.9,synthetic,ann_003,2025-03-21T22:19:55Z
intent_000082,Can I book a session in the evening?,book_appointment,seek_support,0.98,synthetic,ann_002,2025-01-16T20:03:16Z
intent_000083,I've been struggling with suicidal thoughts for weeks.,crisis_emergency,seek_support,0.99,synthetic,ann_004,2024-08-01T00:18:48Z
intent_000084,I want to arrange a session with a counselor.,book_appointment,seek_support,0.96,synthetic,ann_001,2024-08-11T18:17:08Z
intent_000085,Just wanted to say hi.,general_chat,,0.88,synthetic,ann_003,2024-08-17T21:18:46Z
intent_000086,I feel disconnected from myself.,seek_support,book_appointment,0.95,synthetic,ann_002,2024-07-18T03:08:38Z
intent_000087,What does a first therapy session look like?,information_request,,0.95,synthetic,ann_001,2024-06-16T11:56:19Z
intent_000088,Can you help me process what I'm feeling?,seek_support,,0.97,synthetic,ann_002,2024-11-15T00:32:32Z
intent_000089,I want to set up a video session.,book_appointment,,0.9,synthetic,ann_003,2024-10-21T17:45:26Z
intent_000090,I feel really scared and alone.,seek_support,,0.88,synthetic,ann_005,2025-01-22T19:57:24Z
intent_000091,What are your capabilities?,general_chat,,0.9,synthetic,ann_002,2025-02-27T20:59:14Z
intent_000092,I feel completely worthless and like dying.,crisis_emergency,,0.9,synthetic,ann_004,2025-03-05T01:05:47Z
intent_000093,My relationships are falling apart and I don't know how to cope.,seek_support,,0.85,synthetic,ann_003,2025-01-10T14:48:52Z
intent_000094,Can anxiety be cured?,information_request,,0.95,synthetic,ann_001,2024-10-26T23:50:20Z
intent_000095,I feel like I want to end my suffering permanently.,crisis_emergency,seek_support,0.95,synthetic,ann_004,2024-11-30T21:31:13Z
intent_000096,I've been thinking about this for a long time and I'm ready.,crisis_emergency,,0.99,synthetic,ann_005,2024-06-19T20:51:47Z
intent_000097,Can I start the mental health evaluation?,assessment_request,seek_support,0.9,synthetic,ann_002,2025-02-25T14:49:31Z
intent_000098,Can you give me a questionnaire about my depression?,assessment_request,,0.9,synthetic,ann_001,2024-09-09T08:25:59Z
intent_000099,Sirf explore kar raha hun.,general_chat,,0.95,synthetic,ann_001,2024-07-08T19:30:04Z
intent_000100,I want a refund for my last session.,feedback_complaint,,0.85,synthetic,ann_003,2024-11-08T19:08:02Z
intent_000101,I've been feeling anxious and sad all the time.,seek_support,,0.9,synthetic,ann_005,2024-08-25T23:17:30Z
intent_000102,I feel like nobody understands what I'm going through.,seek_support,,0.88,synthetic,ann_001,2024-07-20T00:11:27Z
intent_000103,What are the stages of grief?,information_request,,0.95,synthetic,ann_004,2024-11-01T10:43:20Z
intent_000104,I feel like I'm always on edge.,seek_support,,0.97,synthetic,ann_003,2024-06-27T18:43:24Z
intent_000105,Can you give me the PHQ-9 now?,assessment_request,information_request,0.93,synthetic,ann_002,2024-09-09T23:26:42Z
intent_000106,I can't log into my account.,feedback_complaint,,0.88,synthetic,ann_003,2024-12-13T02:43:20Z
intent_000107,Yaar bahut bura lag raha hai aaj.,seek_support,general_chat,0.97,synthetic,ann_003,2025-03-25T09:54:03Z
intent_000108,Can I take a stress evaluation test?,assessment_request,,0.9,synthetic,ann_005,2024-08-02T10:40:13Z
intent_000109,I'm at a crisis point right now.,crisis_emergency,seek_support,0.97,synthetic,ann_001,2024-07-21T06:09:03Z
intent_000110,I want to check if I have anxiety.,assessment_request,,0.88,synthetic,ann_005,2025-02-05T01:28:01Z
intent_000111,How does cognitive behavioral therapy work?,information_request,,0.88,synthetic,ann_003,2025-02-09T00:40:58Z
intent_000112,What's the weather like where you are? Just kidding.,general_chat,,0.92,synthetic,ann_001,2024-11-24T22:21:08Z
intent_000113,I'm concerned about how my data is being used.,feedback_complaint,,0.88,synthetic,ann_002,2024-12-30T05:02:34Z
intent_000114,I'd like to arrange a therapy session.,book_appointment,seek_support,0.9,synthetic,ann_005,2024-08-30T04:26:56Z
intent_000115,Is there an appointment available this week?,book_appointment,seek_support,0.92,synthetic,ann_003,2024-12-01T23:36:55Z
intent_000116,I've been feeling really low lately and don't know what to do.,seek_support,,0.97,synthetic,ann_001,2024-09-20T16:54:01Z
intent_000117,I'm not satisfied with my recent session.,feedback_complaint,,0.88,synthetic,ann_002,2024-06-20T14:52:43Z
intent_000118,I want to take a mental health assessment.,assessment_request,information_request,0.88,synthetic,ann_001,2025-03-14T12:46:44Z
intent_000119,I feel like there's a heavy fog over everything.,seek_support,general_chat,0.95,synthetic,ann_003,2024-06-07T03:05:25Z
intent_000120,I feel broken and don't know how to fix myself.,seek_support,,0.9,synthetic,ann_004,2024-09-06T23:20:27Z
intent_000121,I've been billed incorrectly.,feedback_complaint,general_chat,0.85,synthetic,ann_001,2024-11-26T18:57:27Z
intent_000122,I'm struggling with loneliness more than ever.,seek_support,,0.97,synthetic,ann_004,2024-09-14T17:31:06Z
intent_000123,I feel like the pain will only stop if I'm dead.,crisis_emergency,seek_support,0.97,synthetic,ann_002,2024-08-04T22:05:19Z
intent_000124,Depression ka assessment karna hai.,assessment_request,,0.9,synthetic,ann_003,2025-01-28T13:09:01Z
intent_000125,I need help with the anxiety that's been consuming my life.,seek_support,book_appointment,0.92,synthetic,ann_001,2025-03-23T07:09:33Z
intent_000126,"I want to see someone about my mental health, how do I book?",book_appointment,,0.92,synthetic,ann_001,2024-07-02T20:38:58Z
intent_000127,I need help dealing with my emotions.,seek_support,,0.85,synthetic,ann_005,2024-10-20T16:45:11Z
intent_000128,I want to book a session for Thursday.,book_appointment,,0.98,synthetic,ann_003,2024-06-07T15:46:50Z
intent_000129,The waiting time is too long.,feedback_complaint,general_chat,0.9,synthetic,ann_002,2024-08-23T10:17:37Z
intent_000130,"I'm doing okay today, just wanted to say hello.",general_chat,,0.92,synthetic,ann_003,2024-07-05T16:13:08Z
intent_000131,I want to book a morning appointment.,book_appointment,,0.92,synthetic,ann_003,2025-02-11T19:11:01Z
intent_000132,Tell me about yourself.,general_chat,,0.85,synthetic,ann_001,2024-08-24T12:17:19Z
intent_000133,Is there an appointment available this week?,book_appointment,,0.92,synthetic,ann_005,2025-02-04T11:18:41Z
intent_000134,I don't see any future for myself.,crisis_emergency,,0.9,synthetic,ann_001,2024-08-29T21:28:50Z
intent_000135,I've been cutting myself to cope.,crisis_emergency,,0.99,synthetic,ann_004,2024-08-17T13:06:14Z
intent_000136,I want to take the PHQ-9 test.,assessment_request,seek_support,0.9,synthetic,ann_002,2024-09-26T18:19:08Z
intent_000137,The app doesn't work on my phone.,feedback_complaint,,0.93,synthetic,ann_004,2024-06-01T01:49:24Z
intent_000138,I want a refund for my last session.,feedback_complaint,,0.88,synthetic,ann_001,2024-10-13T16:13:22Z
intent_000139,Can I complete the intake assessment?,assessment_request,,0.95,synthetic,ann_005,2024-09-17T07:26:56Z
intent_000140,I want to kill myself.,crisis_emergency,,0.95,synthetic,ann_003,2024-11-23T20:00:32Z
intent_000141,The app doesn't work on my phone.,feedback_complaint,,0.95,synthetic,ann_005,2024-12-26T05:22:03Z
intent_000142,I want to kill myself.,crisis_emergency,,0.93,synthetic,ann_002,2024-06-14T17:36:44Z
intent_000143,I want to schedule my next appointment.,book_appointment,,0.98,synthetic,ann_003,2024-07-24T07:28:36Z
intent_000144,I need to book an emergency session.,book_appointment,,0.92,synthetic,ann_004,2024-07-18T13:59:13Z
intent_000145,Can I see if there are any openings today?,book_appointment,,0.92,synthetic,ann_001,2024-07-08T09:42:37Z
intent_000146,This platform doesn't feel safe to use.,feedback_complaint,,0.85,synthetic,ann_001,2024-09-05T01:51:42Z
intent_000147,Can you give me an overview of what's available?,general_chat,,0.92,synthetic,ann_001,2024-07-11T00:59:16Z
intent_000148,I want a refund for my last session.,feedback_complaint,,0.85,synthetic,ann_001,2025-03-09T15:05:32Z
intent_000149,I've been feeling anxious and sad all the time.,seek_support,,0.97,synthetic,ann_001,2025-03-07T12:35:45Z
intent_000150,I'm at the edge and I don't know what will happen.,crisis_emergency,,0.99,synthetic,ann_002,2024-07-07T18:54:12Z
intent_000151,I've been feeling anxious and sad all the time.,seek_support,,0.9,synthetic,ann_003,2025-01-29T01:11:55Z
intent_000152,I don't want to live anymore.,crisis_emergency,,0.97,synthetic,ann_004,2025-01-09T03:38:34Z
intent_000153,I want to hurt myself.,crisis_emergency,,0.9,synthetic,ann_004,2025-02-09T20:19:17Z
intent_000154,I've been thinking about driving into traffic.,crisis_emergency,,0.99,synthetic,ann_002,2024-06-12T09:07:40Z
intent_000155,How do I get started with booking a therapist?,book_appointment,,0.92,synthetic,ann_001,2024-10-07T10:11:57Z
intent_000156,What do you like to talk about?,general_chat,seek_support,0.85,synthetic,ann_004,2024-06-21T21:27:04Z
intent_000157,I need help getting through a very difficult period in my life.,seek_support,,0.95,synthetic,ann_002,2024-07-31T02:11:23Z
intent_000158,I feel like I can't go on.,crisis_emergency,,0.97,synthetic,ann_005,2024-07-10T05:41:17Z
intent_000159,What is DBT therapy?,information_request,,0.97,synthetic,ann_005,2024-07-06T04:01:28Z
intent_000160,I feel completely hopeless and suicidal.,crisis_emergency,,0.9,synthetic,ann_004,2024-06-21T20:18:19Z
intent_000161,What is the connection between exercise and mental health?,information_request,assessment_request,0.95,synthetic,ann_002,2025-02-23T02:27:02Z
intent_000162,Can I take a test to see how I'm doing mentally?,assessment_request,,0.9,synthetic,ann_002,2025-03-03T00:04:27Z
intent_000163,I feel overwhelmed by my responsibilities and I'm burning out.,seek_support,book_appointment,0.88,synthetic,ann_003,2024-08-28T08:17:48Z
intent_000164,Main thak gaya hun sab kuch se.,seek_support,,0.97,synthetic,ann_001,2024-07-29T22:11:53Z
intent_000165,I need help dealing with my emotions.,seek_support,general_chat,0.88,synthetic,ann_005,2025-02-11T06:53:45Z
intent_000166,Mujhe mental health evaluation chahiye.,assessment_request,,0.97,synthetic,ann_003,2025-03-25T16:01:31Z
intent_000167,I feel like I need professional support but I'm not sure where to start.,seek_support,,0.95,synthetic,ann_005,2024-12-30T23:03:08Z
intent_000168,I feel like I have no energy for anything.,seek_support,,0.88,synthetic,ann_002,2024-09-29T16:24:04Z
intent_000169,This app is not working properly.,feedback_complaint,,0.93,synthetic,ann_001,2025-03-25T14:16:44Z
intent_000170,What is the cycle of trauma?,information_request,seek_support,0.88,synthetic,ann_001,2024-06-02T22:52:53Z
intent_000171,I feel like I'm about to do something drastic.,crisis_emergency,,0.93,synthetic,ann_003,2024-10-22T01:17:19Z
intent_000172,Anxiety aur depression mein kya fark hai?,information_request,seek_support,0.95,synthetic,ann_001,2025-02-27T04:06:39Z
intent_000173,Apni condition check karni hai test se.,assessment_request,,0.93,synthetic,ann_004,2025-02-03T02:15:11Z
intent_000174,What's new?,general_chat,,0.9,synthetic,ann_001,2024-09-09T06:57:29Z
intent_000175,I need emotional support more than anything right now.,seek_support,,0.97,synthetic,ann_005,2024-10-07T11:11:54Z
intent_000176,Can I take a mood assessment today?,assessment_request,seek_support,0.95,synthetic,ann_004,2025-03-27T18:01:25Z
intent_000177,I feel like things will never get better.,seek_support,book_appointment,0.88,synthetic,ann_003,2024-07-12T23:33:12Z
intent_000178,GAD-7 questionnaire dena hai.,assessment_request,,0.97,synthetic,ann_004,2025-01-06T15:32:14Z
intent_000179,Just passing time and thought I'd chat.,general_chat,,0.9,synthetic,ann_003,2024-11-24T00:54:15Z
intent_000180,What is dissociation?,information_request,,0.97,synthetic,ann_005,2024-11-21T00:53:28Z
intent_000181,I've been having trouble concentrating because of how I feel.,seek_support,general_chat,0.97,synthetic,ann_002,2025-01-09T01:32:25Z
intent_000182,How does breathing affect anxiety?,information_request,seek_support,0.95,synthetic,ann_002,2024-06-25T09:54:30Z
intent_000183,I have access to something I could hurt myself with.,crisis_emergency,,0.99,synthetic,ann_005,2024-07-28T06:18:42Z
intent_000184,Everything feels too heavy right now.,seek_support,,0.92,synthetic,ann_005,2025-01-22T02:59:12Z
intent_000185,I want to set up a consultation.,book_appointment,,0.96,synthetic,ann_002,2025-03-23T09:54:41Z
intent_000186,Sirf explore kar raha hun.,general_chat,,0.9,synthetic,ann_001,2025-01-11T07:14:52Z
intent_000187,I feel like I'm just going through the motions every day.,seek_support,,0.92,synthetic,ann_002,2024-06-30T12:20:18Z
intent_000188,I'd like to get on the schedule this week.,book_appointment,,0.98,synthetic,ann_002,2025-03-20T03:31:11Z
intent_000189,How does breathing affect anxiety?,information_request,assessment_request,0.97,synthetic,ann_005,2025-03-20T04:43:09Z
intent_000190,What is bipolar disorder?,information_request,,0.92,synthetic,ann_002,2024-06-03T02:58:44Z
intent_000191,How does sleep affect mental health?,information_request,,0.9,synthetic,ann_004,2024-11-12T15:26:02Z
intent_000192,I'm scared I will hurt myself tonight.,crisis_emergency,seek_support,0.93,synthetic,ann_002,2024-06-17T13:46:05Z
intent_000193,The interface is very unintuitive.,feedback_complaint,,0.9,synthetic,ann_003,2024-12-08T06:30:18Z
intent_000194,I've been feeling really hopeless about the future.,seek_support,,0.85,synthetic,ann_003,2024-12-24T21:32:44Z
intent_000195,I've been having a lot of self-doubt.,seek_support,general_chat,0.97,synthetic,ann_004,2024-12-07T17:52:32Z
intent_000196,I'd like to book a session for this afternoon if possible.,book_appointment,seek_support,0.9,synthetic,ann_004,2024-07-23T00:21:50Z
intent_000197,I'd like to get an appointment booked.,book_appointment,,0.98,synthetic,ann_004,2025-01-27T01:11:17Z
intent_000198,Can I schedule a session for next Monday?,book_appointment,,0.9,synthetic,ann_003,2024-09-23T13:49:31Z
intent_000199,Is there an appointment available this week?,book_appointment,seek_support,0.92,synthetic,ann_005,2024-09-21T08:07:50Z
intent_000200,I'd like to check my anxiety levels.,assessment_request,information_request,0.95,synthetic,ann_001,2024-07-18T10:53:38Z
intent_000201,What are the benefits of therapy?,information_request,assessment_request,0.9,synthetic,ann_003,2024-12-06T16:33:17Z
intent_000202,How does cognitive behavioral therapy work?,information_request,seek_support,0.97,synthetic,ann_005,2024-06-01T11:11:12Z
intent_000203,Can I start the mental health evaluation?,assessment_request,,0.95,synthetic,ann_005,2024-09-10T14:53:49Z
intent_000204,This app is not working properly.,feedback_complaint,general_chat,0.95,synthetic,ann_002,2025-01-08T09:02:34Z
intent_000205,I want to take a mental wellness quiz.,assessment_request,information_request,0.97,synthetic,ann_001,2024-11-10T05:54:57Z
intent_000206,I just need someone to listen to me.,seek_support,,0.85,synthetic,ann_001,2025-01-31T16:13:59Z
intent_000207,I want to book a session with Dr. Sharma.,book_appointment,,0.92,synthetic,ann_004,2024-10-02T03:02:02Z
intent_000208,I want to take the DASS-21.,assessment_request,seek_support,0.97,synthetic,ann_004,2025-02-12T08:22:42Z
intent_000209,I want to give feedback about my recent session.,feedback_complaint,,0.85,synthetic,ann_001,2025-03-15T05:24:01Z
intent_000210,I feel like my mind is working against me.,seek_support,general_chat,0.92,synthetic,ann_002,2025-01-28T15:51:18Z
intent_000211,I feel really vulnerable and could use some guidance.,seek_support,,0.85,synthetic,ann_004,2024-09-15T14:20:33Z
intent_000212,I want to cancel and rebook my session.,book_appointment,,0.92,synthetic,ann_005,2024-12-18T04:51:42Z
intent_000213,What is the difference between group therapy and individual therapy?,information_request,seek_support,0.92,synthetic,ann_003,2024-10-05T06:03:39Z
intent_000214,This is a terrible experience.,feedback_complaint,,0.88,synthetic,ann_004,2024-09-30T07:37:06Z
intent_000215,Can I book a session for Monday morning?,book_appointment,,0.94,synthetic,ann_004,2025-03-09T00:02:55Z
intent_000216,I feel like I'm at my breaking point.,seek_support,,0.88,synthetic,ann_003,2024-12-05T03:08:50Z
intent_000217,I feel like everything is falling apart around me.,seek_support,,0.85,synthetic,ann_002,2024-11-01T12:07:18Z
intent_000218,I'd like to set up a consultation call first.,book_appointment,,0.9,synthetic,ann_003,2024-10-25T11:27:37Z
intent_000219,What is the DSM-5?,information_request,,0.88,synthetic,ann_004,2025-03-17T04:06:42Z
intent_000220,Can we do an evaluation of my mental health today?,assessment_request,,0.88,synthetic,ann_002,2024-09-05T03:55:44Z
intent_000221,Bas hello kehna tha.,general_chat,,0.88,synthetic,ann_002,2025-02-20T16:11:48Z
intent_000222,I'm just browsing.,general_chat,,0.92,synthetic,ann_005,2024-06-02T10:31:17Z
intent_000223,I want to set up a consultation.,book_appointment,seek_support,0.94,synthetic,ann_003,2025-02-17T16:19:50Z
intent_000224,I'm thinking of ending things tonight.,crisis_emergency,seek_support,0.9,synthetic,ann_004,2024-09-15T05:27:52Z
intent_000225,I'm thinking about ending my life.,crisis_emergency,seek_support,0.99,synthetic,ann_002,2024-09-23T02:15:57Z
intent_000226,What is GAD-7?,information_request,seek_support,0.97,synthetic,ann_002,2025-03-22T01:40:19Z
intent_000227,Can we do an assessment of my depression?,assessment_request,,0.88,synthetic,ann_002,2024-08-01T21:19:43Z
intent_000228,I've been having violent thoughts about myself.,crisis_emergency,,0.9,synthetic,ann_002,2024-07-18T04:01:35Z
intent_000229,I want to report an issue with the platform.,feedback_complaint,,0.85,synthetic,ann_003,2025-02-25T10:38:24Z
intent_000230,I feel deeply unhappy and I don't know why.,seek_support,,0.88,synthetic,ann_003,2024-06-06T11:52:20Z
intent_000231,I want to stop existing.,crisis_emergency,,0.95,synthetic,ann_003,2024-07-23T23:49:18Z
intent_000232,I need help with my emotional wellbeing.,seek_support,book_appointment,0.9,synthetic,ann_003,2025-02-05T03:02:35Z
intent_000233,What kind of support do you offer?,general_chat,,0.85,synthetic,ann_004,2024-09-16T08:04:53Z
intent_000234,I've been thinking about harming myself.,crisis_emergency,,0.93,synthetic,ann_004,2024-09-28T03:47:59Z
intent_000235,Can I complete the GAD-7 questionnaire?,assessment_request,,0.95,synthetic,ann_005,2024-07-05T00:28:42Z
intent_000236,Mujhe refund chahiye.,feedback_complaint,,0.85,synthetic,ann_001,2024-07-21T09:35:01Z
intent_000237,I've been stockpiling medication to end it.,crisis_emergency,seek_support,0.93,synthetic,ann_003,2024-09-17T16:26:00Z
intent_000238,"I don't have a specific question, just exploring.",general_chat,,0.88,synthetic,ann_001,2025-02-25T22:20:46Z
intent_000239,I need to schedule a session to discuss my anxiety.,book_appointment,,0.98,synthetic,ann_003,2024-07-01T07:58:12Z
intent_000240,How do I book a session on this platform?,book_appointment,,0.96,synthetic,ann_001,2025-01-05T11:06:37Z
intent_000241,I've already taken some pills.,crisis_emergency,,0.95,synthetic,ann_003,2024-06-08T20:35:03Z
intent_000242,I've been carrying a lot of emotional weight.,seek_support,,0.85,synthetic,ann_004,2024-09-16T03:24:05Z
