id,utterance,pattern_count,source
meta_002509,He causes all my problems,1,synthetic
meta_000783,She's more capable than me,1,synthetic
meta_000155,People always judge me for it,1,synthetic
meta_000600,Something bad happened to me,1,synthetic
meta_000572,They broke their promise to me,1,synthetic
meta_001744,I can't talk about my feelings,1,synthetic
meta_000849,I'm doing better now,1,synthetic
meta_000915,I never do anything right,1,synthetic
meta_001907,The rejection really hurt me,1,synthetic
meta_001119,Everything is always my fault,1,synthetic
meta_001911,The guilt haunts me,1,synthetic
meta_000433,People keep doing hurtful things,1,synthetic
meta_000823,She's more capable than me,1,synthetic
meta_001045,Nobody ever listens to me,1,synthetic
meta_002370,Her rejection ruined my self-worth,1,synthetic
meta_002766,"He's busy, which proves he doesn't care",1,synthetic
meta_002204,He judges me for everything,1,synthetic
meta_002937,"When I fail again, it will destroy everything",1,synthetic
meta_002369,Her rejection ruined my self-worth,1,synthetic
meta_001441,I have to please everyone,1,synthetic
meta_002950,"Now that I'm broken, I'm worthless",1,synthetic
meta_002834,"Now that I'm broken, I'm worthless",1,synthetic
meta_001129,Nobody ever listens to me,1,synthetic
meta_000697,Things are different now,1,synthetic
meta_000273,Someone told me I'd never succeed,1,synthetic
meta_001685,I'm incapable of loving myself,1,synthetic
meta_001234,I should be able to handle this alone,1,synthetic
meta_001002,"Every time I try, I fail",1,synthetic
meta_001295,I should never ask for help,1,synthetic
meta_002316,Your words destroyed my confidence,1,synthetic
meta_002822,"Now that I'm broken, I'm worthless",1,synthetic
meta_000120,People always judge me for it,1,synthetic
meta_001046,Everything is always my fault,1,synthetic
meta_001865,I'm struggling with my self-esteem,1,synthetic
meta_002658,"She's quiet, which means she's angry with me",1,synthetic
meta_002092,I can tell she doesn't want me around,1,synthetic
meta_000742,This situation is worse than I thought,1,synthetic
meta_001808,I'm struggling with my self-esteem,1,synthetic
meta_001781,The guilt haunts me,1,synthetic
meta_000336,It's all their fault,1,synthetic
meta_001350,I need to fix everything,1,synthetic
meta_002591,"He doesn't call me, so he hates me",1,synthetic
meta_001338,I must not let anyone down,1,synthetic
meta_000123,They all talk about me behind my back,1,synthetic
meta_000374,They broke their promise to me,1,synthetic
meta_000240,Someone told me I'd never succeed,1,synthetic
meta_001932,I'm trapped in my sadness,1,synthetic
meta_002705,"They left me, so I'm unlovable",1,synthetic
meta_002303,His behavior drives me crazy,1,synthetic
meta_000844,This is the worst thing that's happened,1,synthetic
meta_002267,He clearly doesn't respect me,1,synthetic
meta_000965,I'll never be good enough,1,synthetic
meta_001825,I'm in a deep depression,1,synthetic
meta_000393,He did it again,1,synthetic
meta_001173,I'll never be good enough,1,synthetic
meta_002678,"He doesn't call me, so he hates me",1,synthetic
meta_001946,My shame is eating away at me,1,synthetic
meta_001580,I can't do anything about it,1,synthetic
meta_001703,I can't do anything about it,1,synthetic
meta_001365,I should be able to handle this alone,1,synthetic
meta_002753,"She didn't text back, so she's rejecting me",1,synthetic
meta_000526,People keep doing hurtful things,1,synthetic
meta_001528,I'm incapable of loving myself,1,synthetic
meta_002091,I can tell she doesn't want me around,1,synthetic
meta_000407,People keep doing hurtful things,1,synthetic
meta_002295,Your words destroyed my confidence,1,synthetic
meta_002980,"After I fail, nobody will want me",1,synthetic
meta_001541,I can't forgive myself,1,synthetic
meta_002141,He judges me for everything,1,synthetic
meta_000898,Everyone always abandons me,1,synthetic
meta_001390,I should never ask for help,1,synthetic
meta_001788,I'm struggling with my self-esteem,1,synthetic
meta_002256,I know they don't like me,1,synthetic
meta_001273,I have to be strong all the time,1,synthetic
meta_001043,I always mess things up,1,synthetic
meta_002844,"Before I disappoint them, I should leave",1,synthetic
meta_000796,This is the worst thing that's happened,1,synthetic
meta_002433,Your words destroyed my confidence,1,synthetic
meta_002547,You're responsible for my failures,1,synthetic
meta_002195,He judges me for everything,1,synthetic
meta_000321,It's all their fault,1,synthetic
meta_001177,I'll never be good enough,1,synthetic
meta_001709,I can't talk about my feelings,1,synthetic
meta_001092,Everyone always abandons me,1,synthetic
meta_001290,I must succeed at everything,1,synthetic
meta_002710,"He doesn't call me, so he hates me",1,synthetic
meta_000140,People always judge me for it,1,synthetic
meta_001345,I need to fix everything,1,synthetic
meta_001463,I should be able to handle this alone,1,synthetic
meta_002486,His behavior drives me crazy,1,synthetic
meta_002728,"She didn't text back, so she's rejecting me",1,synthetic
meta_000198,They make me feel worthless,1,synthetic
meta_001070,Nobody wants to be around me,1,synthetic
meta_002043,I can tell she doesn't want me around,1,synthetic
meta_002160,I know they don't like me,1,synthetic
meta_001687,I won't ever get over this,1,synthetic
meta_001333,I should never ask for help,1,synthetic
meta_001874,I'm in a deep depression,1,synthetic
meta_002635,"He doesn't call me, so he hates me",1,synthetic
meta_001582,I can't forgive myself,1,synthetic
meta_000772,This situation is worse than I thought,1,synthetic
meta_002052,I can tell she doesn't want me around,1,synthetic
meta_000232,People always judge me for it,1,synthetic
meta_001532,I can't forgive myself,1,synthetic
meta_001315,I must not let anyone down,1,synthetic
meta_002767,"If he loved me, he'd always be available",1,synthetic
meta_000935,Nobody wants to be around me,1,synthetic
meta_001796,I'm trapped in my sadness,1,synthetic
meta_001178,Nobody wants to be around me,1,synthetic
meta_001465,I must succeed at everything,1,synthetic
meta_001770,The loneliness is unbearable,1,synthetic
meta_001067,I never do anything right,1,synthetic
meta_001596,I won't ever get over this,1,synthetic
meta_002518,Her rejection ruined my self-worth,1,synthetic
meta_001853,I'm struggling with my self-esteem,1,synthetic
meta_002011,She thinks I'm a failure,1,synthetic
meta_002437,They make me feel worthless,1,synthetic
meta_000824,This situation is worse than I thought,1,synthetic
meta_000282,He upset me again,1,synthetic
meta_001891,I'm trapped in my sadness,1,synthetic
meta_000635,I can't believe what she said to me,1,synthetic
meta_000202,He made me do it,1,synthetic
meta_001931,I can't escape my fear,1,synthetic
meta_002821,"Since I always mess up, why bother trying",1,synthetic
meta_002176,He clearly doesn't respect me,1,synthetic
meta_001110,Everyone always abandons me,1,synthetic
meta_002103,People look at me like I'm pathetic,1,synthetic
meta_002676,"She didn't text back, so she's rejecting me",1,synthetic
meta_000936,I never do anything right,1,synthetic
meta_002135,She thinks I'm a failure,1,synthetic
meta_000749,Things are different now,1,synthetic
meta_000294,He upset me again,1,synthetic
meta_002350,You're responsible for my failures,1,synthetic
meta_000375,He did it again,1,synthetic
meta_001545,It's impossible for me to be happy,1,synthetic
meta_001473,I need to fix everything,1,synthetic
meta_002199,People look at me like I'm pathetic,1,synthetic
meta_001102,I'll never be good enough,1,synthetic
meta_001799,The anger is consuming me,1,synthetic
meta_001373,I must be perfect or I'm worthless,1,synthetic
meta_001212,I must be perfect or I'm worthless,1,synthetic
meta_000223,She thinks I'm a failure,1,synthetic
meta_001105,Everything is always my fault,1,synthetic
meta_002824,"If things get worse, I won't handle it",1,synthetic
meta_000279,He upset me again,1,synthetic
meta_002566,"If he loved me, he'd always be available",1,synthetic
meta_002143,Everyone knows I'm a loser,1,synthetic
meta_000589,I don't understand what he wants from me,1,synthetic
meta_002583,"He's busy, which proves he doesn't care",1,synthetic
meta_002647,Not asking my opinion means I'm not valued,1,synthetic
meta_002792,"After I fail, nobody will want me",1,synthetic
meta_002348,You're responsible for my failures,1,synthetic
meta_001889,I can't escape my fear,1,synthetic
meta_000708,This situation is worse than I thought,1,synthetic
meta_001262,I need to fix everything,1,synthetic
meta_001637,I won't ever get over this,1,synthetic
meta_002088,They think I'm stupid,1,synthetic
meta_002003,The guilt haunts me,1,synthetic
meta_001823,I'm trapped in my sadness,1,synthetic
meta_001662,It's impossible for me to be happy,1,synthetic
meta_000504,I can't believe what she said to me,1,synthetic
meta_001224,I must succeed at everything,1,synthetic
meta_001633,Nobody can understand what I'm going through,1,synthetic
meta_001976,I'm struggling with my self-esteem,1,synthetic
meta_002695,"He's busy, which proves he doesn't care",1,synthetic
meta_002220,They think I'm stupid,1,synthetic
meta_000725,I'm doing better now,1,synthetic
meta_001213,I should be able to handle this alone,1,synthetic
meta_000857,I never do anything right,1,synthetic
meta_002590,Not asking my opinion means I'm not valued,1,synthetic
meta_000390,They messed everything up,1,synthetic
meta_002602,"She didn't text back, so she's rejecting me",1,synthetic
meta_001786,My anxiety is overwhelming me,1,synthetic
meta_001317,I must not let anyone down,1,synthetic
meta_002520,Your words destroyed my confidence,1,synthetic
meta_002068,I know they don't like me,1,synthetic
meta_002036,I can tell she doesn't want me around,1,synthetic
meta_000172,She thinks I'm a failure,1,synthetic
meta_002252,He clearly doesn't respect me,1,synthetic
meta_000072,He made me do it,1,synthetic
meta_001302,I need to fix everything,1,synthetic
meta_001059,I'll never be good enough,1,synthetic
meta_000912,Everyone always abandons me,1,synthetic
meta_000692,Things are different now,1,synthetic
meta_000127,They make me feel worthless,1,synthetic
meta_001166,I always mess things up,1,synthetic
meta_000263,They don't care about my feelings,1,synthetic
meta_002589,"She didn't text back, so she's rejecting me",1,synthetic
meta_001635,I can't talk about my feelings,1,synthetic
meta_000152,Someone told me I'd never succeed,1,synthetic
meta_001325,I must succeed at everything,1,synthetic
meta_002738,"He's busy, which proves he doesn't care",1,synthetic
meta_001581,I can't forgive myself,1,synthetic
meta_002338,Her rejection ruined my self-worth,1,synthetic
meta_000145,Everyone expects so much from me,1,synthetic
meta_000105,He upset me again,1,synthetic
meta_000328,He made me do it,1,synthetic
meta_001135,Everyone judges me,1,synthetic
meta_002785,"Now that I'm broken, I'm worthless",1,synthetic
meta_000331,It's all their fault,1,synthetic
meta_002134,Everyone knows I'm a loser,1,synthetic
meta_002762,Not asking my opinion means I'm not valued,1,synthetic
meta_002609,"He doesn't call me, so he hates me",1,synthetic
meta_002495,They make me feel worthless,1,synthetic
meta_002240,Everyone knows I'm a loser,1,synthetic
meta_001805,I'm struggling with my self-esteem,1,synthetic
meta_002102,She thinks I'm a failure,1,synthetic
meta_002651,"They left me, so I'm unlovable",1,synthetic
meta_000415,I don't understand what he wants from me,1,synthetic
meta_001309,I must not let anyone down,1,synthetic
meta_002074,I know they don't like me,1,synthetic
meta_000705,I'm stronger than I used to be,1,synthetic
meta_002029,I can tell she doesn't want me around,1,synthetic
meta_001407,I must not let anyone down,1,synthetic
meta_001990,I'm trapped in my sadness,1,synthetic
meta_002203,He clearly doesn't respect me,1,synthetic
meta_001153,All my relationships fail,1,synthetic
meta_001397,I must be perfect or I'm worthless,1,synthetic
meta_000148,They all talk about me behind my back,1,synthetic
meta_001201,I need to fix everything,1,synthetic
meta_001240,I need to fix everything,1,synthetic
meta_001936,The guilt haunts me,1,synthetic
meta_002435,Your words destroyed my confidence,1,synthetic
meta_000551,I can't believe what she said to me,1,synthetic
meta_002395,You make me angry,1,synthetic
meta_001381,I need to fix everything,1,synthetic
meta_001352,I must not let anyone down,1,synthetic
meta_000618,Something bad happened to me,1,synthetic
meta_000586,She's been acting strange lately,1,synthetic
meta_000990,All my relationships fail,1,synthetic
meta_000655,I'm better off alone,1,synthetic
meta_000521,I don't understand what he wants from me,1,synthetic
meta_000092,Someone told me I'd never succeed,1,synthetic
meta_001550,It's impossible for me to be happy,1,synthetic
meta_002374,Her rejection ruined my self-worth,1,synthetic
meta_000905,Everything is always my fault,1,synthetic
meta_002974,"Before I disappoint them, I should leave",1,synthetic
meta_000219,People always judge me for it,1,synthetic
meta_002429,You're responsible for my failures,1,synthetic
meta_000838,This is the worst thing that's happened,1,synthetic
meta_000740,I'm less anxious about it now,1,synthetic
meta_001253,I need to fix everything,1,synthetic
meta_000289,Everyone expects so much from me,1,synthetic
meta_002078,Everyone knows I'm a loser,1,synthetic
meta_001699,I can't do anything about it,1,synthetic
meta_001071,All my relationships fail,1,synthetic
meta_000153,Everyone expects so much from me,1,synthetic
meta_001952,The rejection really hurt me,1,synthetic
meta_000050,They don't care about my feelings,1,synthetic
meta_000889,I always mess things up,1,synthetic
meta_001344,I must be perfect or I'm worthless,1,synthetic
meta_001286,I have to be strong all the time,1,synthetic
meta_000091,People always judge me for it,1,synthetic
meta_001877,The loneliness is unbearable,1,synthetic
meta_002819,"Now that I'm broken, I'm worthless",1,synthetic
meta_001185,Everything is always my fault,1,synthetic
meta_001822,I can't escape my fear,1,synthetic
meta_001462,I must be perfect or I'm worthless,1,synthetic
meta_001761,My shame is eating away at me,1,synthetic
meta_001109,I always mess things up,1,synthetic
meta_000004,He upset me again,1,synthetic
meta_000078,Everyone expects so much from me,1,synthetic
meta_000543,He did it again,1,synthetic
meta_002936,"If things get worse, I won't handle it",1,synthetic
meta_002323,You're responsible for my failures,1,synthetic
meta_002622,"She didn't text back, so she's rejecting me",1,synthetic
meta_002358,You're responsible for my failures,1,synthetic
meta_002205,They think I'm stupid,1,synthetic
meta_000502,They broke their promise to me,1,synthetic
meta_002717,"She didn't text back, so she's rejecting me",1,synthetic
meta_002245,She thinks I'm a failure,1,synthetic
meta_001557,I won't ever get over this,1,synthetic
meta_000640,I don't understand what he wants from me,1,synthetic
meta_002700,"They left me, so I'm unlovable",1,synthetic
meta_000736,I'm stronger than I used to be,1,synthetic
meta_001537,I can't forgive myself,1,synthetic
meta_001655,I'm incapable of loving myself,1,synthetic
meta_002951,"As my depression deepens, I'll lose everyone",1,synthetic
meta_002703,"If he loved me, he'd always be available",1,synthetic
meta_001912,I'm struggling with my self-esteem,1,synthetic
meta_002344,You make me angry,1,synthetic
meta_000353,It went wrong somehow,1,synthetic
meta_002784,"As my depression deepens, I'll lose everyone",1,synthetic
meta_001460,I need to fix everything,1,synthetic
meta_001885,I can't escape my fear,1,synthetic
meta_001836,The anger is consuming me,1,synthetic
meta_002268,I can tell she doesn't want me around,1,synthetic
meta_001380,I must succeed at everything,1,synthetic
meta_000807,I'm stronger than I used to be,1,synthetic
meta_000562,They broke their promise to me,1,synthetic
meta_002584,"He doesn't call me, so he hates me",1,synthetic
meta_001440,I must succeed at everything,1,synthetic
meta_000735,I'm stronger than I used to be,1,synthetic
meta_000272,He upset me again,1,synthetic
meta_001801,I can't escape my fear,1,synthetic
meta_000068,They make me feel worthless,1,synthetic
meta_002359,You're responsible for my failures,1,synthetic
meta_002401,Your words destroyed my confidence,1,synthetic
meta_000354,Something bad happened to me,1,synthetic
meta_001134,I always mess things up,1,synthetic
meta_001674,I'm unable to change,1,synthetic
meta_001480,I must not let anyone down,1,synthetic
meta_001749,I'm unable to change,1,synthetic
meta_001831,The guilt haunts me,1,synthetic
meta_001495,I'm unable to change,1,synthetic
meta_000996,"Every time I try, I fail",1,synthetic
meta_001054,Everyone always abandons me,1,synthetic
meta_002682,"She's quiet, which means she's angry with me",1,synthetic
meta_002997,"Now that I'm broken, I'm worthless",1,synthetic
meta_001386,I have to please everyone,1,synthetic
meta_000086,He upset me again,1,synthetic
meta_000008,They make me feel worthless,1,synthetic
meta_000842,I'm better off alone,1,synthetic
meta_001303,I must succeed at everything,1,synthetic
meta_002376,Your words destroyed my confidence,1,synthetic
meta_002333,You're responsible for my failures,1,synthetic
meta_000254,Everyone expects so much from me,1,synthetic
meta_000632,People keep doing hurtful things,1,synthetic
meta_001568,I won't ever get over this,1,synthetic
meta_001107,I'll never be good enough,1,synthetic
meta_000664,This is the worst thing that's happened,1,synthetic
meta_000425,I don't understand what he wants from me,1,synthetic
meta_000042,They make me feel worthless,1,synthetic
meta_001009,I'll never be good enough,1,synthetic
meta_000569,It went wrong somehow,1,synthetic
meta_002156,I know they don't like me,1,synthetic
meta_002990,"If things get worse, I won't handle it",1,synthetic
meta_000134,He made me do it,1,synthetic
meta_002184,They think I'm stupid,1,synthetic
meta_002368,His behavior drives me crazy,1,synthetic
meta_002571,"She didn't text back, so she's rejecting me",1,synthetic
meta_000686,I'm doing better now,1,synthetic
meta_001218,I need to fix everything,1,synthetic
meta_000525,I can't believe what she said to me,1,synthetic
meta_001543,I can't forgive myself,1,synthetic
meta_002829,"Before I disappoint them, I should leave",1,synthetic
meta_000460,He did it again,1,synthetic
meta_001752,I can't do anything about it,1,synthetic
meta_002382,You make me angry,1,synthetic
meta_002236,He judges me for everything,1,synthetic
meta_002960,"Before I disappoint them, I should leave",1,synthetic
meta_002410,They make me feel worthless,1,synthetic
meta_000636,He did it again,1,synthetic
meta_001716,I can't forgive myself,1,synthetic
meta_000689,I'm stronger than I used to be,1,synthetic
meta_002355,You're responsible for my failures,1,synthetic
meta_001999,My shame is eating away at me,1,synthetic
meta_000424,He did it again,1,synthetic
meta_002122,I can tell she doesn't want me around,1,synthetic
meta_000913,I always mess things up,1,synthetic
meta_001019,All my relationships fail,1,synthetic
meta_002279,I can tell she doesn't want me around,1,synthetic
meta_000470,I don't understand what he wants from me,1,synthetic
meta_002535,His behavior drives me crazy,1,synthetic
meta_002924,"Before I disappoint them, I should leave",1,synthetic
meta_001533,I can't talk about my feelings,1,synthetic
meta_002439,He causes all my problems,1,synthetic
meta_002246,He clearly doesn't respect me,1,synthetic
meta_002281,I know they don't like me,1,synthetic
meta_002551,"If he loved me, he'd always be available",1,synthetic
meta_001560,I'm incapable of loving myself,1,synthetic
meta_000832,She's more capable than me,1,synthetic
meta_001124,All my relationships fail,1,synthetic
meta_001042,I always mess things up,1,synthetic
meta_000186,They don't care about my feelings,1,synthetic
meta_002398,His behavior drives me crazy,1,synthetic
meta_002034,Everyone knows I'm a loser,1,synthetic
meta_000440,They messed everything up,1,synthetic
meta_002668,"She's quiet, which means she's angry with me",1,synthetic
meta_002447,You make me angry,1,synthetic
meta_001903,My shame is eating away at me,1,synthetic
meta_002310,He causes all my problems,1,synthetic
meta_000429,Life keeps throwing challenges at me,1,synthetic
meta_000100,It's all their fault,1,synthetic
meta_001094,Nobody wants to be around me,1,synthetic
meta_001342,I need to fix everything,1,synthetic
meta_001564,It's impossible for me to be happy,1,synthetic
meta_001840,The guilt haunts me,1,synthetic
meta_002456,Her rejection ruined my self-worth,1,synthetic
meta_002242,I can tell she doesn't want me around,1,synthetic
meta_000988,Nobody wants to be around me,1,synthetic
meta_001851,The loneliness is unbearable,1,synthetic
meta_001632,I can't talk about my feelings,1,synthetic
meta_000822,This situation is worse than I thought,1,synthetic
meta_001789,My anxiety is overwhelming me,1,synthetic
meta_002617,Not asking my opinion means I'm not valued,1,synthetic
meta_001953,I can't escape my fear,1,synthetic
meta_002852,"Before I disappoint them, I should leave",1,synthetic
meta_000462,People keep doing hurtful things,1,synthetic
meta_000955,I always mess things up,1,synthetic
meta_001452,I have to be strong all the time,1,synthetic
meta_001291,I need to fix everything,1,synthetic
meta_001474,I must not let anyone down,1,synthetic
meta_002487,He causes all my problems,1,synthetic
meta_000611,He did it again,1,synthetic
meta_000837,I'm stronger than I used to be,1,synthetic
meta_000738,She's more capable than me,1,synthetic
meta_002305,His behavior drives me crazy,1,synthetic
meta_002751,"He doesn't call me, so he hates me",1,synthetic
meta_002072,Everyone knows I'm a loser,1,synthetic
meta_000333,They all talk about me behind my back,1,synthetic
meta_001654,It's impossible for me to be happy,1,synthetic
meta_000196,It's all their fault,1,synthetic
meta_000500,He did it again,1,synthetic
meta_000372,Something bad happened to me,1,synthetic
meta_001426,I should never ask for help,1,synthetic
meta_002211,She thinks I'm a failure,1,synthetic
meta_002637,Not asking my opinion means I'm not valued,1,synthetic
meta_001739,I won't ever get over this,1,synthetic
meta_002480,They make me feel worthless,1,synthetic
meta_000923,I always mess things up,1,synthetic
meta_001074,Everyone always abandons me,1,synthetic
meta_001194,I never do anything right,1,synthetic
meta_000365,Something bad happened to me,1,synthetic
meta_001634,It's impossible for me to be happy,1,synthetic
meta_000402,They broke their promise to me,1,synthetic
meta_001132,Everyone always abandons me,1,synthetic
meta_001708,I'm unable to change,1,synthetic
meta_002543,Her rejection ruined my self-worth,1,synthetic
meta_002597,"He doesn't call me, so he hates me",1,synthetic
meta_000262,It's all their fault,1,synthetic
meta_002884,"Since I always mess up, why bother trying",1,synthetic
meta_000974,Everyone always abandons me,1,synthetic
meta_002372,His behavior drives me crazy,1,synthetic
meta_000312,He upset me again,1,synthetic
meta_002412,You make me angry,1,synthetic
meta_001734,I can't talk about my feelings,1,synthetic
meta_000592,They messed everything up,1,synthetic
meta_000467,They broke their promise to me,1,synthetic
meta_000890,All my relationships fail,1,synthetic
meta_002169,I can tell she doesn't want me around,1,synthetic
meta_001639,I can't talk about my feelings,1,synthetic
meta_002125,She thinks I'm a failure,1,synthetic
meta_001412,I have to please everyone,1,synthetic
meta_002554,"She didn't text back, so she's rejecting me",1,synthetic
meta_000598,I can't believe what she said to me,1,synthetic
meta_002070,She thinks I'm a failure,1,synthetic
meta_000552,It went wrong somehow,1,synthetic
meta_000499,People keep doing hurtful things,1,synthetic
meta_000952,Everyone judges me,1,synthetic
meta_002672,Not asking my opinion means I'm not valued,1,synthetic
meta_002596,"She's quiet, which means she's angry with me",1,synthetic
meta_001190,I'll never be good enough,1,synthetic
meta_000344,People always judge me for it,1,synthetic
meta_000887,Everything is always my fault,1,synthetic
meta_002094,He clearly doesn't respect me,1,synthetic
meta_000026,They don't care about my feelings,1,synthetic
meta_000147,She thinks I'm a failure,1,synthetic
meta_002005,I'm struggling with my self-esteem,1,synthetic
meta_002265,I can tell she doesn't want me around,1,synthetic
meta_001205,I must not let anyone down,1,synthetic
meta_002780,"Now that I'm broken, I'm worthless",1,synthetic
meta_001881,The guilt haunts me,1,synthetic
meta_001672,I can't forgive myself,1,synthetic
meta_002461,Your words destroyed my confidence,1,synthetic
meta_001701,I'm incapable of loving myself,1,synthetic
meta_002234,People look at me like I'm pathetic,1,synthetic
meta_002652,"If he loved me, he'd always be available",1,synthetic
meta_000116,It's all their fault,1,synthetic
meta_001970,The guilt haunts me,1,synthetic
meta_000771,I'm doing better now,1,synthetic
meta_000080,He upset me again,1,synthetic
meta_002328,Her rejection ruined my self-worth,1,synthetic
meta_000710,Things are different now,1,synthetic
meta_001621,I won't ever get over this,1,synthetic
meta_000755,I'm stronger than I used to be,1,synthetic
meta_001913,I can't escape my fear,1,synthetic
meta_000017,He upset me again,1,synthetic
meta_001878,The guilt haunts me,1,synthetic
meta_002976,"Before I disappoint them, I should leave",1,synthetic
meta_000063,She thinks I'm a failure,1,synthetic
meta_000764,Things are different now,1,synthetic
meta_001809,The guilt haunts me,1,synthetic
meta_001030,Nobody ever listens to me,1,synthetic
meta_002987,"If things get worse, I won't handle it",1,synthetic
meta_001704,I can't forgive myself,1,synthetic
meta_002632,"She didn't text back, so she's rejecting me",1,synthetic
meta_000917,I never do anything right,1,synthetic
meta_001044,All my relationships fail,1,synthetic
meta_000239,She thinks I'm a failure,1,synthetic
meta_001084,Everyone judges me,1,synthetic
meta_001773,The anger is consuming me,1,synthetic
meta_000925,I never do anything right,1,synthetic
meta_001764,My anxiety is overwhelming me,1,synthetic
meta_000852,Everyone judges me,1,synthetic
meta_000693,I'm doing better now,1,synthetic
meta_002549,Her rejection ruined my self-worth,1,synthetic
meta_001200,Nobody wants to be around me,1,synthetic
meta_002128,Everyone knows I'm a loser,1,synthetic
meta_001711,I can't talk about my feelings,1,synthetic
meta_002196,She thinks I'm a failure,1,synthetic
meta_002983,"As my depression deepens, I'll lose everyone",1,synthetic
meta_001584,I'm incapable of loving myself,1,synthetic
meta_001154,Everything is always my fault,1,synthetic
meta_000082,He upset me again,1,synthetic
meta_001969,I'm struggling with my self-esteem,1,synthetic
meta_001959,I'm trapped in my sadness,1,synthetic
meta_001371,I must be perfect or I'm worthless,1,synthetic
meta_000492,I don't understand what he wants from me,1,synthetic
meta_000368,Something bad happened to me,1,synthetic
meta_000038,Someone told me I'd never succeed,1,synthetic
meta_000478,People keep doing hurtful things,1,synthetic
meta_002501,His behavior drives me crazy,1,synthetic
meta_002559,"She's quiet, which means she's angry with me",1,synthetic
meta_001955,The anger is consuming me,1,synthetic
meta_001867,I'm trapped in my sadness,1,synthetic
meta_002118,I can tell she doesn't want me around,1,synthetic
meta_001977,I'm in a deep depression,1,synthetic
meta_000271,It's all their fault,1,synthetic
meta_001763,The rejection really hurt me,1,synthetic
meta_001904,I'm struggling with my self-esteem,1,synthetic
meta_000128,He made me do it,1,synthetic
meta_001125,Nobody wants to be around me,1,synthetic
meta_002550,You make me angry,1,synthetic
meta_002409,Her rejection ruined my self-worth,1,synthetic
meta_002667,"He's busy, which proves he doesn't care",1,synthetic
meta_001835,I'm trapped in my sadness,1,synthetic
meta_000040,She thinks I'm a failure,1,synthetic
meta_002663,"They left me, so I'm unlovable",1,synthetic
meta_000870,Everything is always my fault,1,synthetic
meta_000346,It's all their fault,1,synthetic
meta_001270,I must succeed at everything,1,synthetic
