id,utterance,primary_emotion,secondary_emotion,intensity,confidence,annotator_id,source,created_at
emot_000524,I feel like I'm constantly being taken advantage of.,anger,fear,0.9237,0.9459,ann_005,synthetic,2025-08-24T00:00:00Z
emot_000365,I used to love painting. I haven't touched my brushes in eight months.,sadness,anxiety,0.6583,0.8193,ann_003,synthetic,2025-09-10T00:00:00Z
emot_000187,What if I fail? I can't stop thinking about it.,anxiety,fear,0.5293,0.9235,ann_011,synthetic,2025-01-26T00:00:00Z
emot_001095,I'm ashamed of the things I did for approval. I sold myself cheaply.,shame,,0.5898,0.7601,ann_008,synthetic,2025-11-15T00:00:00Z
emot_000575,They made a decision that affects my whole life and didn't even consult me.,anger,,0.7203,0.8784,ann_001,synthetic,2025-11-10T00:00:00Z
emot_001281,I downloaded a sleep tracking app. Collecting data.,neutral,,0.263,0.7579,ann_009,synthetic,2025-12-12T00:00:00Z
emot_000830,I'm tired of carrying hope when it never amounts to anything.,hopelessness,anxiety,0.9422,0.7979,ann_006,crisis_text_line,2025-12-17T00:00:00Z
emot_000844,I can't imagine a day when this doesn't feel overwhelming.,hopelessness,sadness,0.8226,0.8764,ann_003,forum_scrape,2025-05-19T00:00:00Z
emot_000998,"I should have pushed back. I didn't, and now things have gone very wrong.",guilt,shame,0.7577,0.8785,ann_014,clinical_notes,2025-12-20T00:00:00Z
emot_000760,I've given up on myself.,hopelessness,anxiety,0.8894,0.9626,ann_002,forum_scrape,2025-02-15T00:00:00Z
emot_000613,I'm afraid of being seen as weak.,fear,,0.7948,0.8986,ann_003,synthetic,2025-09-20T00:00:00Z
emot_000284,I've been dealing with the secondary losses—the friends who disappeared after the diagnosis.,sadness,anxiety,0.6109,0.7816,ann_015,synthetic,2025-10-09T00:00:00Z
emot_000403,I've been crying less but feeling worse. The numbness is scarier.,sadness,anxiety,0.9646,0.9262,ann_009,synthetic,2025-10-09T00:00:00Z
emot_000024,I'm afraid of feeling afraid. The fear of fear is its own thing.,anxiety,sadness,0.8203,0.8078,ann_002,forum_scrape,2025-01-27T00:00:00Z
emot_000634,I'm scared of the physical sensation of fear. It feels like dying.,fear,,0.6922,0.8699,ann_014,forum_scrape,2025-05-21T00:00:00Z
emot_000213,I can't be present in conversations because part of me is always watching for danger.,anxiety,hopelessness,0.6398,0.8783,ann_005,synthetic,2025-07-17T00:00:00Z
emot_001125,"I feel like I've been too much and not enough at the same time, for as long as I can remember.",shame,,0.6661,0.8991,ann_002,synthetic,2025-08-31T00:00:00Z
emot_000926,I feel guilty for not doing more when I saw the warning signs.,guilt,sadness,0.8909,0.7663,ann_012,synthetic,2025-05-01T00:00:00Z
emot_001071,I'm ashamed of my history of abuse. Even though I know it wasn't my fault.,shame,,0.6635,0.7967,ann_005,synthetic,2026-02-05T00:00:00Z
emot_000173,I'm terrified that today's anxiety will be tomorrow's reality.,anxiety,,0.7758,0.9543,ann_006,crisis_text_line,2025-07-31T00:00:00Z
emot_000183,My jaw is always clenched. My dentist says I've been grinding my teeth.,anxiety,hopelessness,0.5308,0.9116,ann_015,synthetic,2025-06-08T00:00:00Z
emot_000875,I can't find a single reason to believe things will be different.,hopelessness,guilt,0.7755,0.7517,ann_014,forum_scrape,2025-09-13T00:00:00Z
emot_000291,I feel like I've lost my spark.,sadness,hopelessness,0.5898,0.9182,ann_005,forum_scrape,2025-11-28T00:00:00Z
emot_001277,"I had a normal, unremarkable Monday. Which is fine.",neutral,,0.3977,0.769,ann_004,forum_scrape,2025-12-03T00:00:00Z
emot_001182,I called my parents over the weekend. Usual check-in.,neutral,,0.4437,0.9118,ann_007,clinical_notes,2026-01-26T00:00:00Z
emot_000495,They made me feel stupid in front of everyone. I'm humiliated and furious.,anger,sadness,0.7964,0.8106,ann_010,synthetic,2025-05-18T00:00:00Z
emot_000360,I find myself crying in the shower where no one can hear.,sadness,anxiety,0.8316,0.771,ann_008,synthetic,2025-06-07T00:00:00Z
emot_001162,I tried a new type of tea this week. Not sure if I like it yet.,neutral,,0.4392,0.8854,ann_014,synthetic,2025-09-09T00:00:00Z
emot_000204,I'm afraid of saying the wrong thing and people hating me for it.,anxiety,hopelessness,0.8291,0.7657,ann_011,synthetic,2025-08-15T00:00:00Z
emot_000535,"I'm angry that my anger is the thing that gets noticed, not what caused it.",anger,,0.7268,0.9569,ann_002,synthetic,2025-12-02T00:00:00Z
emot_000405,"I feel like I'm underwater, watching life happen through glass.",sadness,guilt,0.9128,0.9776,ann_012,crisis_text_line,2025-02-22T00:00:00Z
emot_001166,I finished a course I started last month. Good to have it completed.,neutral,,0.4777,0.7917,ann_001,synthetic,2026-01-01T00:00:00Z
emot_001194,I set up a new exercise routine this week. Nothing dramatic—just something regular.,neutral,,0.3701,0.8482,ann_011,synthetic,2025-12-11T00:00:00Z
emot_000617,I've been scared of the person I am when I'm at my worst.,fear,,0.9571,0.8321,ann_011,synthetic,2025-12-10T00:00:00Z
emot_000312,I feel like I'm waiting to feel better but I don't know when that will be.,sadness,,0.6937,0.8012,ann_013,synthetic,2025-01-02T00:00:00Z
emot_000542,"I'm angry at the waste—the wasted years, the wasted chances, the wasted trust.",anger,sadness,0.5771,0.7982,ann_003,clinical_notes,2026-02-01T00:00:00Z
emot_000329,I feel like I'm just going through the motions.,sadness,hopelessness,0.7677,0.777,ann_008,synthetic,2026-01-22T00:00:00Z
emot_000828,I don't believe things will improve. I've run out of reasons to hope.,hopelessness,sadness,0.7789,0.8943,ann_015,synthetic,2025-10-02T00:00:00Z
emot_001238,I've been working on a few creative projects in my spare time.,neutral,,0.323,0.7809,ann_005,synthetic,2025-02-13T00:00:00Z
emot_000442,I've been hitting the gym harder since this happened. It's the only release I have.,anger,,0.6555,0.7643,ann_003,synthetic,2025-12-06T00:00:00Z
emot_000212,I've been prescribed medication but I'm anxious about taking it.,anxiety,,0.8965,0.9061,ann_013,forum_scrape,2025-01-27T00:00:00Z
emot_001273,I took the afternoon off and went to a museum. It was a nice change.,neutral,,0.436,0.825,ann_003,synthetic,2025-08-19T00:00:00Z
emot_000338,Uske jaane ke baad se ghar bahut sunna lagta hai.,sadness,,0.891,0.9546,ann_001,clinical_notes,2025-11-25T00:00:00Z
emot_000343,I feel the loss of my younger self—the one who still believed things would work out.,sadness,fear,0.9586,0.7539,ann_011,synthetic,2025-12-24T00:00:00Z
emot_000205,I've been afraid to drive since the accident even though I was fine.,anxiety,hopelessness,0.9234,0.8667,ann_008,synthetic,2025-06-08T00:00:00Z
emot_000014,"I keep double-checking everything—did I lock the door, did I turn off the stove.",anxiety,,0.6934,0.8668,ann_002,clinical_notes,2025-04-06T00:00:00Z
emot_000929,I've been struggling with guilt about my role in my sibling's struggles.,guilt,shame,0.8835,0.7669,ann_008,synthetic,2025-10-27T00:00:00Z
emot_000605,I've been afraid of enclosed spaces since the incident. I take the stairs everywhere.,fear,,0.9033,0.8949,ann_006,synthetic,2025-08-10T00:00:00Z
emot_001020,I should have been there. I wasn't. That's on me.,guilt,,0.8717,0.9748,ann_015,synthetic,2026-01-15T00:00:00Z
emot_000330,I've been going through photos and I can't stop crying.,sadness,,0.7338,0.805,ann_013,synthetic,2025-06-14T00:00:00Z
emot_001217,I tried yoga for the first time. Harder than I expected.,neutral,,0.3101,0.9098,ann_010,forum_scrape,2025-08-28T00:00:00Z
emot_000753,I feel like hope is something other people are allowed to have.,hopelessness,,0.6383,0.7595,ann_010,synthetic,2025-10-04T00:00:00Z
emot_000517,I've been feeling a constant low-level irritability for months.,anger,fear,0.9203,0.8961,ann_011,synthetic,2025-03-05T00:00:00Z
emot_000512,I've been stomping around the house and my family is walking on eggshells.,anger,fear,0.8137,0.8891,ann_004,synthetic,2025-02-15T00:00:00Z
emot_000900,I should have noticed she was struggling. I was too absorbed in my own problems.,guilt,anxiety,0.7206,0.759,ann_011,synthetic,2025-07-16T00:00:00Z
emot_000361,I've been trying to understand why I'm still sad. Maybe that's not the right question.,sadness,fear,0.578,0.7931,ann_009,clinical_notes,2025-08-18T00:00:00Z
emot_000670,I've been afraid since childhood and I don't know how to stop being afraid.,fear,,0.8902,0.8433,ann_009,synthetic,2025-04-13T00:00:00Z
emot_000688,I'm scared to leave the house after what happened.,fear,,0.8736,0.9079,ann_008,synthetic,2025-03-31T00:00:00Z
emot_000547,I'm angry that I'm expected to forgive when there's been no accountability.,anger,fear,0.7777,0.8382,ann_005,synthetic,2025-10-29T00:00:00Z
emot_000820,I feel like there's no version of the future I want to be part of.,hopelessness,,0.9056,0.8913,ann_009,forum_scrape,2025-09-12T00:00:00Z
emot_001103,I feel like I'm damaged goods.,shame,guilt,0.9187,0.8912,ann_011,synthetic,2025-08-11T00:00:00Z
emot_000113,I've been avoiding things I used to love because they trigger the anxiety.,anxiety,,0.5595,0.8748,ann_001,synthetic,2025-07-31T00:00:00Z
emot_000938,I feel guilty for the ways my mental health has affected my children.,guilt,sadness,0.8888,0.7592,ann_012,crisis_text_line,2025-08-29T00:00:00Z
emot_000699,I've been afraid of this moment for years. Now it's here and I'm falling apart.,fear,,0.8836,0.9643,ann_006,synthetic,2025-05-12T00:00:00Z
emot_000002,I'm anxious all the time but I can't point to one specific thing causing it.,anxiety,fear,0.754,0.7572,ann_002,clinical_notes,2025-06-19T00:00:00Z
emot_001167,I made a plan for the weekend with no pressure to be productive.,neutral,,0.2392,0.8449,ann_005,synthetic,2025-06-15T00:00:00Z
emot_000747,I feel like I've tried every door and they're all locked.,hopelessness,,0.8594,0.8109,ann_004,synthetic,2025-10-26T00:00:00Z
emot_000448,I feel like the rage is the only honest thing I have left.,anger,,0.5629,0.947,ann_002,forum_scrape,2025-03-17T00:00:00Z
emot_000789,I feel like I'm just going through motions until it all ends.,hopelessness,guilt,0.7616,0.7574,ann_001,synthetic,2026-01-27T00:00:00Z
emot_000610,I've been scared of love. Every time it's led to loss.,fear,,0.8776,0.7831,ann_015,crisis_text_line,2025-12-13T00:00:00Z
emot_000759,I've run out of the energy to keep trying.,hopelessness,guilt,0.947,0.9192,ann_004,synthetic,2025-05-07T00:00:00Z
emot_000227,I miss belonging somewhere.,sadness,hopelessness,0.5842,0.8984,ann_007,clinical_notes,2025-07-05T00:00:00Z
emot_000890,I feel like nothing I've tried has worked and nothing will.,hopelessness,guilt,0.9352,0.845,ann_004,forum_scrape,2025-07-16T00:00:00Z
emot_000446,I'm furious at my ex for what he put me through and for not paying child support.,anger,sadness,0.9415,0.9272,ann_005,synthetic,2025-08-20T00:00:00Z
emot_000478,"I feel like nobody respects my time, my effort, or my boundaries.",anger,,0.5609,0.8232,ann_004,forum_scrape,2025-11-10T00:00:00Z
emot_000133,I'm scared that I'll never be good enough no matter what I do.,anxiety,fear,0.88,0.8189,ann_001,synthetic,2025-01-15T00:00:00Z
emot_001065,I'm ashamed of the family dysfunction I come from and feel like I carry it with me.,shame,sadness,0.8204,0.8864,ann_013,synthetic,2025-06-17T00:00:00Z
emot_000824,I don't see myself in a year. The future is completely blank.,hopelessness,guilt,0.6584,0.9087,ann_013,synthetic,2025-05-11T00:00:00Z
emot_000660,I've been afraid of the dark since she died. The darkness holds all the things I haven't processed.,fear,,0.9152,0.8205,ann_013,forum_scrape,2025-06-26T00:00:00Z
emot_000981,I've been carrying this guilt since the accident. I was driving.,guilt,shame,0.9459,0.783,ann_008,crisis_text_line,2025-06-05T00:00:00Z
emot_000529,I feel like I've swallowed too much and now it's burning through me.,anger,fear,0.729,0.9261,ann_013,crisis_text_line,2025-01-30T00:00:00Z
emot_001193,I've been reviewing my monthly budget to see where I can make adjustments.,neutral,,0.2295,0.9094,ann_010,synthetic,2025-09-30T00:00:00Z
emot_001288,I went to bed at a reasonable hour for the third night in a row. Small progress.,neutral,,0.4324,0.8746,ann_002,synthetic,2025-08-08T00:00:00Z
emot_000959,I should have apologised while I had the chance.,guilt,shame,0.5913,0.9345,ann_011,synthetic,2025-09-24T00:00:00Z
emot_000485,I'm angry that I'm expected to just move on.,anger,sadness,0.7712,0.8101,ann_002,synthetic,2025-02-23T00:00:00Z
emot_000744,I feel like I was never meant to be okay.,hopelessness,sadness,0.9181,0.9548,ann_005,synthetic,2025-01-04T00:00:00Z
emot_001144,I feel like everyone can see through me to how defective I really am.,shame,,0.8778,0.8065,ann_013,clinical_notes,2026-01-21T00:00:00Z
emot_000349,I've been playing with her toys to feel close to her.,sadness,,0.6237,0.9614,ann_004,crisis_text_line,2025-04-28T00:00:00Z
emot_000492,I'm angry at a world that keeps expecting me to be okay with things that aren't.,anger,sadness,0.5624,0.8968,ann_008,crisis_text_line,2025-02-11T00:00:00Z
emot_000011,I've been snapping at everyone. I know it's the anxiety but I can't control it.,anxiety,fear,0.8659,0.9303,ann_005,synthetic,2025-08-21T00:00:00Z
emot_000483,I'm angry that my hard work was taken for granted.,anger,guilt,0.8996,0.8371,ann_007,synthetic,2025-10-07T00:00:00Z
emot_001246,I scheduled a dentist appointment. Long overdue.,neutral,,0.2905,0.8189,ann_013,synthetic,2025-06-27T00:00:00Z
emot_001189,I've been trying to cut back on caffeine with mixed success.,neutral,,0.3291,0.8968,ann_014,synthetic,2025-02-26T00:00:00Z
emot_000924,Mujhe pachtawa hai ki main wahan nahi tha. Agar hota to shayad sab theek ho jata.,guilt,anxiety,0.7626,0.8078,ann_013,crisis_text_line,2025-11-12T00:00:00Z
emot_000880,I feel like all my efforts have been and always will be for nothing.,hopelessness,sadness,0.9579,0.8219,ann_015,synthetic,2025-01-28T00:00:00Z
emot_000851,I feel like whatever was keeping me going has run out.,hopelessness,,0.9039,0.8015,ann_005,synthetic,2025-11-12T00:00:00Z
emot_000944,I didn't believe him and I should have. The consequences were severe.,guilt,anxiety,0.9022,0.7503,ann_002,synthetic,2025-11-18T00:00:00Z
emot_000587,I've been writing unsent letters to release the anger. It helps a little.,anger,,0.7313,0.9639,ann_004,synthetic,2025-07-21T00:00:00Z
emot_000648,I'm afraid of trusting again. It's cost me too much before.,fear,anxiety,0.7927,0.7804,ann_004,clinical_notes,2025-01-09T00:00:00Z
emot_000300,I keep scrolling through old photos of us. I can't believe she's gone.,sadness,fear,0.8921,0.9599,ann_009,crisis_text_line,2026-01-23T00:00:00Z
emot_001262,I attended a talk at the local library. Something outside my usual field.,neutral,,0.4151,0.9209,ann_015,crisis_text_line,2025-07-19T00:00:00Z
emot_000142,I can't trust that good things will stay. Something always takes them away.,anxiety,fear,0.9647,0.9416,ann_013,crisis_text_line,2025-05-27T00:00:00Z
emot_000916,I've been carrying the guilt of a mistake I made that I can't undo.,guilt,shame,0.5728,0.7686,ann_003,synthetic,2025-01-04T00:00:00Z
emot_000454,I've been carrying anger at my father that I've never fully expressed.,anger,guilt,0.9386,0.7712,ann_002,synthetic,2025-06-19T00:00:00Z
emot_000990,I feel guilty for putting my own needs first. Even though everyone said I should.,guilt,,0.6124,0.9186,ann_014,synthetic,2025-01-09T00:00:00Z
emot_000700,I've been afraid of the dark since the attack. I'm in my thirties and I can't sleep without a light.,fear,,0.6711,0.9063,ann_004,clinical_notes,2025-11-07T00:00:00Z
emot_001268,I've been trying to cook more at home instead of ordering in.,neutral,,0.3135,0.9394,ann_007,synthetic,2025-03-31T00:00:00Z
emot_001220,I've been paying attention to when my energy is highest during the day.,neutral,,0.3116,0.8573,ann_004,synthetic,2025-04-20T00:00:00Z
emot_000393,I used to sing in the car. I don't do that anymore.,sadness,anxiety,0.958,0.8221,ann_010,synthetic,2025-07-18T00:00:00Z
emot_000673,I'm scared of what I heard at the doctor's office. I'm trying not to think about it.,fear,,0.9403,0.7903,ann_002,clinical_notes,2025-09-17T00:00:00Z
emot_001272,I've been doing some research into healthy habits. Looking for small things to implement.,neutral,,0.3947,0.9252,ann_006,synthetic,2025-03-04T00:00:00Z
emot_000494,I'm so angry I can't think straight.,anger,,0.8811,0.9537,ann_003,synthetic,2025-07-09T00:00:00Z
emot_000521,Mujhe gussa aa raha hai. Koi sunta hi nahi meri baat.,anger,guilt,0.7607,0.8119,ann_009,synthetic,2025-07-29T00:00:00Z
emot_000116,I avoid looking at my bank account because I'm scared of what I'll see.,anxiety,,0.6217,0.8949,ann_012,synthetic,2025-05-03T00:00:00Z
emot_000347,"I've been crying without knowing why, and the not-knowing makes it worse.",sadness,guilt,0.4956,0.8372,ann_008,synthetic,2025-10-10T00:00:00Z
emot_000568,I've been biting my tongue for months. It's starting to taste like blood.,anger,,0.9089,0.9333,ann_003,forum_scrape,2025-02-27T00:00:00Z
emot_000450,I'm furious that nobody held them accountable.,anger,guilt,0.6071,0.9466,ann_012,clinical_notes,2025-10-12T00:00:00Z
emot_000966,I feel so guilty about how I treated my mother before she died.,guilt,,0.7722,0.7972,ann_001,forum_scrape,2025-12-29T00:00:00Z
emot_000536,I feel the anger most when I'm alone and there's nothing to distract me.,anger,fear,0.7647,0.8206,ann_006,synthetic,2025-06-19T00:00:00Z
emot_000546,I've been fantasizing about telling them exactly what I think. In detail.,anger,guilt,0.5906,0.8941,ann_004,forum_scrape,2025-05-08T00:00:00Z
emot_000727,I've been flinching at everything. My body is constantly prepared for impact.,fear,anxiety,0.7754,0.7534,ann_006,synthetic,2025-04-22T00:00:00Z
emot_000148,I've been grinding my teeth so hard I cracked one of them.,anxiety,hopelessness,0.6481,0.7673,ann_004,crisis_text_line,2026-01-22T00:00:00Z
emot_000745,I've run out of things to look forward to.,hopelessness,guilt,0.8513,0.939,ann_014,synthetic,2025-12-20T00:00:00Z
emot_000121,I've been hyper-vigilant for so long I've forgotten what it feels like to be calm.,anxiety,fear,0.8364,0.9465,ann_015,crisis_text_line,2025-06-24T00:00:00Z
emot_000939,I've been carrying guilt for leaving my first marriage. I hurt someone who didn't deserve it.,guilt,,0.5455,0.8407,ann_014,synthetic,2025-12-23T00:00:00Z
emot_001233,I booked a holiday for next year. Nothing special—just somewhere I haven't been.,neutral,,0.23,0.8393,ann_013,clinical_notes,2025-11-27T00:00:00Z
emot_000662,I'm scared of the thing that used to make me happy. I don't understand it.,fear,sadness,0.6629,0.8421,ann_013,clinical_notes,2025-06-23T00:00:00Z
emot_000032,I can't watch anything stressful on TV anymore. It triggers spirals.,anxiety,sadness,0.7996,0.9113,ann_014,synthetic,2025-07-15T00:00:00Z
emot_001033,I'm ashamed of the ways I've failed the people who counted on me.,shame,,0.852,0.8425,ann_009,synthetic,2025-11-16T00:00:00Z
emot_000668,I'm terrified of conflict. Any hint of raised voices and I freeze.,fear,anxiety,0.9706,0.9106,ann_003,forum_scrape,2025-11-11T00:00:00Z
emot_000344,I feel like there's a version of my life I'll never get to live.,sadness,hopelessness,0.6251,0.8706,ann_004,clinical_notes,2025-05-04T00:00:00Z
emot_001109,I feel like other people have a self worth preserving. I'm not sure I do.,shame,,0.8313,0.8847,ann_009,synthetic,2026-01-29T00:00:00Z
emot_000496,I'm furious that I always have to be the bigger person.,anger,guilt,0.6251,0.8291,ann_007,crisis_text_line,2025-10-05T00:00:00Z
emot_001146,I'm ashamed of the version of myself that I have to pretend doesn't exist.,shame,,0.8966,0.8518,ann_001,forum_scrape,2026-01-30T00:00:00Z
emot_001196,I've been spending more intentional time with the people I care about.,neutral,,0.3917,0.9246,ann_004,synthetic,2026-01-05T00:00:00Z
emot_001263,I had a conversation about something important and it went better than I expected.,neutral,,0.3022,0.8212,ann_011,synthetic,2025-12-30T00:00:00Z
emot_000661,I'm terrified of burdening people with my fear.,fear,,0.7613,0.9016,ann_004,synthetic,2026-01-18T00:00:00Z
emot_000678,I've been scared of my own grief. What if I never stop crying?,fear,sadness,0.8747,0.8312,ann_001,forum_scrape,2025-10-02T00:00:00Z
emot_000144,"I'm terrified of being forgotten, of not leaving a mark on the world.",anxiety,sadness,0.6742,0.8987,ann_013,synthetic,2025-06-08T00:00:00Z
emot_000635,I've been scared of my own body since the diagnosis.,fear,,0.9727,0.79,ann_007,synthetic,2025-12-01T00:00:00Z
emot_000079,I'm scared that I'll be exposed as someone who doesn't know what they're doing.,anxiety,sadness,0.6367,0.8537,ann_008,clinical_notes,2026-01-20T00:00:00Z
emot_000251,I feel like I'm living underwater.,sadness,fear,0.8685,0.7801,ann_009,clinical_notes,2025-07-09T00:00:00Z
emot_000720,I've been having a full body fear response to things that aren't threatening.,fear,anxiety,0.9424,0.8447,ann_007,synthetic,2025-10-15T00:00:00Z
emot_001297,I cooked a new recipe yesterday. It turned out well.,neutral,,0.2385,0.9197,ann_004,clinical_notes,2026-01-23T00:00:00Z
emot_000175,I'm scared of losing the people I love.,anxiety,hopelessness,0.8772,0.908,ann_002,synthetic,2025-08-31T00:00:00Z
emot_000280,I've been grieving quietly for months. Nobody knows.,sadness,hopelessness,0.7725,0.9697,ann_006,synthetic,2025-02-10T00:00:00Z
emot_000523,I've been venting to anyone who will listen because it's eating me alive.,anger,guilt,0.8065,0.9669,ann_012,forum_scrape,2025-12-31T00:00:00Z
emot_000482,I feel like my anger is the voice of everything I was never allowed to say.,anger,fear,0.6632,0.7611,ann_012,synthetic,2025-08-13T00:00:00Z
emot_001283,I reorganised my workspace this week. It's a bit more functional now.,neutral,,0.3914,0.8521,ann_001,synthetic,2025-11-03T00:00:00Z
emot_000554,I'm furious at how I was treated when I was most vulnerable.,anger,sadness,0.645,0.8375,ann_005,synthetic,2025-10-08T00:00:00Z
emot_001037,I'm ashamed of who I was in the relationship. I don't recognize myself.,shame,guilt,0.922,0.8564,ann_003,forum_scrape,2025-05-04T00:00:00Z
emot_001142,I'm ashamed of my fear. It has made me small when I should have been brave.,shame,sadness,0.9482,0.9269,ann_004,crisis_text_line,2025-01-04T00:00:00Z
emot_001274,I started a new book this week. Early pages so far.,neutral,,0.3927,0.7561,ann_012,forum_scrape,2025-11-24T00:00:00Z
emot_001223,I had a productive day at work today. Got through most of the backlog.,neutral,,0.3226,0.7568,ann_005,synthetic,2025-04-12T00:00:00Z
emot_000378,I feel like sadness has become my baseline.,sadness,guilt,0.8521,0.9368,ann_011,synthetic,2025-11-01T00:00:00Z
emot_001097,I feel like the shame has been with me so long it's become part of my identity.,shame,guilt,0.6828,0.8885,ann_007,synthetic,2025-02-17T00:00:00Z
emot_000427,He cheated on me and had the nerve to tell me it was my fault.,anger,,0.9206,0.7628,ann_003,synthetic,2025-10-18T00:00:00Z
emot_000935,I feel guilty for taking so long to leave when I knew it was hurting my children.,guilt,,0.9413,0.7699,ann_008,crisis_text_line,2025-09-25T00:00:00Z
emot_000083,I feel like I'm disappearing under the weight of my own worry.,anxiety,,0.9355,0.9088,ann_012,synthetic,2025-11-27T00:00:00Z
